S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3090967.0,SBL CONSTRUCTION,INR,"142,589",Finance,Document downloaded,Priyadarshini Behera,26-Sep-2025 11:55 AM,finance_552632.pdf,BOQ Comparative Chart,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,06-Nov-2025 06:12 PM,finsummary_552632.pdf (1914.69 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_118072_1,03SERWBLS,SR to RI office Building at Oupada for the year 2025-26,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,06-Nov-2025 06:08 PM,techsummary_552632.pdf (1914.69 KB),1,3092948,ABHIMANYU DALEI,22-Sep-2025 01:24 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,06-Nov-2025,"INR 142,589",30.0,Soubhagya Kumar Das,06-Nov-2025 06:16 PM,24TCN3.pdf (1915.00 KB),AOC,SR to RI office Building at Oupada for the year 2025-26,SR to RI office Building at Oupada for the year 2025-26,NA ,NA ,"1,67,732",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,1.0,ICICI BANK,600.0,0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION, BALASORE",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,03SERWBLS,2025_CERWI_118072_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,15-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,15-Sep-2025 10:00 AM ,22-Sep-2025 01:00 PM ,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,"1,677",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"P. cost, EMD, RC, Pan, Valid GSTIN, Affidavit and other as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3094580,BASANTA MAHARANA,22-Sep-2025 04:19 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3092810,BIKRAM KESHARI PATRA,21-Sep-2025 09:04 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3094918,GAYADHARA BEHERA,22-Sep-2025 02:59 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3090588,JAYANTA KUMAR PARIDA,21-Sep-2025 12:36 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3084122,MAHENDRA SETHI,20-Sep-2025 12:19 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3092148,M/S MANAS KUMAR TRIPATHY,21-Sep-2025 05:03 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3090367,NILAMBAR MOHAPATRA,20-Sep-2025 02:14 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3086381,PANKAJ KUMAR PATRA,21-Sep-2025 05:46 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3082337,Rakesh Panda,15-Sep-2025 07:39 PM,Rejected-AOC,Not Qualified,06-Nov-2025 06:16 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
