Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,5 NOS ARE BIDDER PARTICIPATED IN THIS TENDER,Simachala Satapathy,28-Nov-2025 06:57 PM,,BOQ Comparative Chart,28-Nov-2025,"INR 837,577.23",60.0,Simachala Satapathy,28-Nov-2025 07:07 PM,AOC13.pdf (930.00 KB),1.0,3072599.0,TUSHAAR NANDAN PATI,INR,"712,024.41","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_117482_13,MIDGJP-03/2025-26,Improvement to Kinimini MIP in Mohana Block of Gajapati District under DPIW Scheme-2025-26,1,3074604,Karanda Bisoyi,10-Sep-2025 04:56 PM,Rejected-AOC,un successful,28-Nov-2025 07:07 PM,simachala satapathy,Internal,,Simachala Satapathy,28-Nov-2025 06:59 PM,techsummary_550781.pdf (20.24 KB),simachala satapathy,Internal,,Simachala Satapathy,28-Nov-2025 07:03 PM,finsummary_550781.pdf (38.28 KB),AOC,1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",MIDGJP-03/2025-26,2025_CEMIB_117482_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"O/O SUPERINTENDING ENGINEER MI DIVISION, GAJAPATI PARALAKHEMUNDI",Improvement to Kinimini MIP in Mohana Block of Gajapati District under DPIW Scheme-2025-26,Improvement to Kinimini MIP in Mohana Block of Gajapati District under DPIW Scheme-2025-26,Please refer tender documents ,NA ,"8,37,577",Civil Works - Others,NA ,Tender,90.0,60.0,MOHANA,761015.0,NA ,NA ,NA ,SE M I Division Gajapati paralakhemundi,No ,No,01-Sep-2025 10:00 AM,11-Sep-2025 11:00 AM,01-Sep-2025 10:00 AM,10-Sep-2025 05:30 PM,01-Sep-2025 10:00 AM ,10-Sep-2025 05:30 PM ,01-Sep-2025 10:00 AM,10-Sep-2025 05:30 PM,"4,000",0.0,Nil,Nil,No,"8,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD (Online) RC, PAN, active GSTN, affidavit other documents and forms as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,2,3074105,RADHA KRUSHNA SAHU,10-Sep-2025 02:27 PM,Rejected-AOC,un successful,28-Nov-2025 07:07 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,3,3073888,SRINIBAS PATRO,10-Sep-2025 01:20 PM,Rejected-AOC,un successful,28-Nov-2025 07:07 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3073683,Swarup Kumar Gantayat,10-Sep-2025 12:27 PM,Rejected-AOC,un successful,28-Nov-2025 07:07 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3072599,TUSHAAR NANDAN PATI,09-Sep-2025 06:34 PM,Accepted-AOC,Selected thorught lottery system as 1st lowest ( successful),28-Nov-2025 07:07 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
