Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Executive Engineer and Estimator,Internal,Executive Engineer and Estimator,Biswajit Rayaguru,21-Jun-2025 06:24 PM,techsummary_542192.pdf (938.07 KB),1,2968157,Amit Agrawal,16-Jun-2025 02:32 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,09-Sep-2025,"INR 3,251,844",30.0,Kanan Pradhan,26-Nov-2025 12:54 PM,img819.pdf (406.00 KB),1.0,2969051.0,M/S PAYAL INFRA,INR,"2,765,393",Finance,All documents downloaded,Biswajit Rayaguru,17-Jun-2025 02:08 PM,finance_542192.pdf,BOQ Comparative Chart,Executive Engineer and Estimator,Internal,Executive Engineer and Estimator,Biswajit Rayaguru,01-Jul-2025 01:30 PM,finsummary_542192.pdf (486.31 KB),CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,2025_CERWI_114201_2,DMGH / Online-02 of 2025-26,Periodical renewal of 5 year completed PMGSY road PWD Road to Rourhaldi (OR-15-ADB-25) in the District of Kalahandi for the year 2025-26,AOC,Periodical renewal of 5 year completed PMGSY road PWD Road to Rourhaldi (OR-15-ADB-25) in the District of Kalahandi for the year 2025-26,Periodical renewal of 5 year completed PMGSY road PWD Road to Rourhaldi (OR-15-ADB-25) in the District of Kalahandi for the year 2025-26,Please refer DTCN ,NA ,"32,51,844",Civil Works - Roads,Road ,Tender,90.0,30.0,Dharmagarh / Kalahandi,766015.0,NA ,NA ,NA ,"O/o SE, RWD, Dharmagarh",No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,05-Jun-2025 10:00 AM,17-Jun-2025 11:00 AM,05-Jun-2025 10:00 AM,16-Jun-2025 05:00 PM,05-Jun-2025 10:00 AM ,13-Jun-2025 05:00 PM ,05-Jun-2025 10:00 AM,16-Jun-2025 05:00 PM,"SE, RWD, Dharmagarh","O/o SE, RWD, Dharmagarh",CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,DMGH / Online-02 of 2025-26,2025_CERWI_114201_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"32,518",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,TPC EMD GSTIN PAN RC Affidavits NRC Secrrenshot required documents as per DTCN,AOC
,,,,,,2,2969342,BIKASH KUMAR AGRAWAL,16-Jun-2025 03:28 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,3,2968523,BYASADEBA SAHU,16-Jun-2025 02:04 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2965310,CH SUBASH CHANDRA PATRO,13-Jun-2025 12:34 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2968576,DUSILA SAHU,16-Jun-2025 02:18 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2969743,GANESH NAIK,16-Jun-2025 04:53 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2969632,GITANJALI MEHER,16-Jun-2025 04:31 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2959545,GOPAL PRASAD SAHU,10-Jun-2025 07:19 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2966666,GRISMANTA KUMAR MEHER,14-Jun-2025 01:36 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2969124,HANUMAN PRASAD AGRAWAL,16-Jun-2025 04:03 PM,Rejected-Finance,Rejected in Lottery System,01-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
