Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Tender opened Successfully,PRANAY PRADHAN,03-Nov-2025 06:32 PM,finance_543765.pdf,BOQ Comparative Chart,1.0,2980226.0,PRATAP KISHOR NAIK,INR,"1,144,733.97",CCE Upper Indravati Irrigation Project Mukhiguda||Lift Canal Division Kusumkhunti Kalahandi,2025_CEUIP_114657_1,SE/UILCD-I-01(09-10)/ 2025-26,Renovation of Fall at RD 15810m of Chhuriagarh Branch Canal,"CCE, UIP, Mukhiguda",External,"CCE UIP, SE UILCD1 Kusumkhunti, PA to CCE Mukhiguda, FA and CAO, UIP Mukhiguda",PRANAY PRADHAN,17-Nov-2025 01:08 PM,finsummary_543765.pdf (566.30 KB),"CCE, UIP, Mukhiguda",External,"CCE UIP, SE UILCD1 Kusumkhunti, PA to CCE Mukhiguda, FA and CAO, UIP Mukhiguda",PRANAY PRADHAN,14-Nov-2025 01:22 PM,techsummary_543765.pdf (391.02 KB),1,2982043,AMIT RANJAN PATRA,28-Jun-2025 02:29 PM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,01-Dec-2025,"INR 1,144,733.97",270.0,PRANAY PRADHAN,17-Nov-2025 01:22 PM,AOC09.pdf (461.00 KB),AOC,CCE Upper Indravati Irrigation Project Mukhiguda||Lift Canal Division Kusumkhunti Kalahandi,SE/UILCD-I-01(09-10)/ 2025-26,2025_CEUIP_114657_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,ICICI BANK,21-Jun-2025 10:00 AM,01-Jul-2025 11:30 AM,21-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,21-Jun-2025 10:00 AM ,30-Jun-2025 05:00 PM ,21-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,Renovation of Fall at RD 15810m of Chhuriagarh Branch Canal,Canal repair,Please refer Tender documents. ,NA ,"13,46,588",Civil Works - Canal,fall reapir work ,Tender,90.0,270.0,Chhurigarh,766011.0,NA ,NA ,NA ,"O/o SE,UILCD No-I Kusumkhunti",No ,No,"13,466",Yes,percentage,1.0%,Nil,Nil,"SE,UILCD No-I,Kusumkhunti","O/o SE,UILCD-I,Kusumkhunti,Kalahandi",1.0,Fee/PreQual/Technical/Finance,.pdf,"paper cost,EMD,RC,GSTIN,PAN,Affidavits,NRC and other Documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2979759,DEEPAK RANJAN BEHERA,27-Jun-2025 04:45 PM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2978258,M/S SAMRUDHI CONSTRUCTION,26-Jun-2025 11:03 AM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2980226,PRATAP KISHOR NAIK,25-Jun-2025 07:46 PM,Accepted-AOC,Selected through transparent Lottery system,17-Nov-2025 01:22 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2982582,PRIYANKA PUROHIT,29-Jun-2025 11:42 AM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2982133,RATHA MEHER,28-Jun-2025 05:24 PM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2983978,SABITA NAIK,30-Jun-2025 03:28 PM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2978857,Sachidananda Majhi,26-Jun-2025 06:48 PM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2981025,SHASHI BHUSAN PRAHARAJ,27-Jun-2025 02:16 PM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2982068,SHIVRAM MEHER,30-Jun-2025 01:29 PM,Rejected-Finance,Disqualified through transparent Lottery system,17-Nov-2025 01:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
