Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Superintending Engineer Rourkela R and B Division,Office of Superintending Engineer Rourkela R and B Division,1.0,Fee/PreQual/Technical,.pdf,"Registration certificate, Registration in CDMS, PAN Card, GSTIN Certificate, Affidavit etc",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,Bid id 13 of 2025-26,2025_EICCL_115723_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"79,200",Yes,fixed,,Nil,Nil,18-Jul-2025 06:00 PM,29-Jul-2025 11:00 AM,18-Jul-2025 06:00 PM,28-Jul-2025 05:00 PM,18-Jul-2025 06:00 PM ,27-Jul-2025 06:00 PM ,18-Jul-2025 06:00 PM,28-Jul-2025 05:00 PM,12-Aug-2025 01:30 PM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Improvement of RP line Campus roads with RCC drain and paver block from RP line-7 (Road ID D30-R21G.A) to RP Line-17 (Road ID D30-R21Q.A) in the dist. of Sundargarh under State Plan for the year 2025-26,Improvement of RP line Campus roads with RCC drain and paver block from RP line-7 (Road ID D30-R21G.A) to RP Line-17 (Road ID D30-R21Q.A) in the dist. of Sundargarh under State Plan for the year 2025-26,Please refer Tender documents. ,NA ,"79,200",Civil Works - Roads,NA ,Tender,90.0,90.0,Rourkela,769012.0,NA ,NA ,NA ,Office of Superintending Engineer Rourkela R and B,No ,No,AOC,1,3013262,DEBASHIS MOHANTY,27-Jul-2025 11:39 AM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,04-Nov-2025,"INR 6,728,468",90.0,Alok Kumar Naik,04-Nov-2025 06:21 PM,Rpline7to171302.pdf (541.00 KB),"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",Finance,Allthebiddershavefurnishedminimumrequisitedocuments,Alok Kumar Naik,04-Nov-2025 05:21 PM,finance_546443.pdf,BOQ Comparative Chart,SERandbdivisionRourkelaDAORourkelaRandBDivisionAEstimatorRourkelaRandB Division,Internal,SERandbdivisionRourkelaDAORourkelaRandBDivisionAEstimatorRourkelaRandB Division,Alok Kumar Naik,12-Aug-2025 12:59 PM,12-Aug-2025 01:30 PM,techsummary_546443.pdf (394.88 KB),SERandbdivisionRourkelaDAORourkelaRandBDivisionAEstimatorRourkelaRandB Division,Internal,SERandbdivisionRourkelaDAORourkelaRandBDivisionAEstimatorRourkelaRandB Division,Alok Kumar Naik,04-Nov-2025 05:49 PM,finsummary_546443.pdf (540.57 KB),Technical,All the Thirteen bidders qualified in the Technical Evaluation,Alok Kumar Naik,12-Aug-2025 12:38 PM,,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-ROURKELA,2025_EICCL_115723_2,Bid id 13 of 2025-26,Improvement of RP line Campus roads with RCC drain and paver block from RP line-7 (Road ID D30-R21G.A) to RP Line-17 (Road ID D30-R21Q.A) in the dist. of Sundargarh under State Plan for the year 2025-26,1.0,3014839.0,PRATIK BHUYAN,INR,"6,728,468",AOC
,,,,.pdf,"No Relation Certificate, Schedule-E, Schedule-F, Affidavit etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3014793,DEBENDRA KUMAR JENA,28-Jul-2025 02:03 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Experience Certificate, List of Machinaries,Lease Deeds etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3013045,DEEPAK KUMAR ROUT,26-Jul-2025 09:30 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3012919,DILLIP KUMAR SWAIN,26-Jul-2025 07:08 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3014476,GOPAL TOPPO,28-Jul-2025 12:53 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3010487,KALANDI CHARAN SWAIN,27-Jul-2025 12:47 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3009349,NIBHA MISHRA,22-Jul-2025 09:52 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3015320,PRASAD KUMAR SAHOO,28-Jul-2025 04:01 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3014839,PRATIK BHUYAN,28-Jul-2025 01:58 PM,Accepted-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3013521,SIDDHARTHA KUMAR PRADHAN,27-Jul-2025 01:57 PM,Rejected-AOC,"Sri Pratik Bhuyan stood 1st lowest. His bid was accepted,Agmt drawn and Work order issued",04-Nov-2025 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
