S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2941022.0,SHREE GANESHJEE CONSTRUCTION,INR,"30,333,339",Arjuna Behera,Internal,,Pradeep Kisan,21-Sep-2025 07:48 PM,finsummary_539456.pdf (616.99 KB),CE RW I||RWCIRCLE-BHAWANIPATNA,2025_CERWI_113391_4,BPT/Online-03/2025-26,Construction of bridge over Local Nallah at 1.520 Km. on Sankenguda to Padmapur Road in the district of Kalahandi for the year 2025-26 under Setu Bandhana Yojana,Technical,52 NOS. BIDDERS ARE PARTICIPATED,Pradeep Kisan,31-May-2025 06:48 PM,,Finance,price bid opened,Biswajit Rayaguru,16-Sep-2025 11:14 AM,,BOQ Comparative Chart,Arjuna Behera,Internal,,Pradeep Kisan,10-Sep-2025 01:23 PM,13-Sep-2025 11:00 AM,techsummary_539456.pdf (1212.31 KB),1,2943434,ABHIJEET BOSE,30-May-2025 03:16 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,13-Nov-2025,"INR 37,874,891",365.0,Pradeep Kisan,13-Nov-2025 01:14 PM,1410.pdf (387.00 KB),AOC,"3,56,820",Yes,percentage,1.0%,Nil,Nil,Chief Construction Engineer,"O/o the CCE RW Circle, Bhawanipatna",1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, PAN, GSTIN, Affidavit regarding correctness, No relation certificate",16-May-2025 09:00 AM,31-May-2025 11:00 AM,16-May-2025 09:00 AM,30-May-2025 05:00 PM,16-May-2025 09:00 AM ,29-May-2025 05:00 PM ,16-May-2025 09:00 AM,30-May-2025 05:00 PM,13-Sep-2025 11:00 AM,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHAWANIPATNA,BPT/Online-03/2025-26,2025_CERWI_113391_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of bridge over Local Nallah at 1.520 Km. on Sankenguda to Padmapur Road in the district of Kalahandi for the year 2025-26 under Setu Bandhana Yojana,Construction of bridge over Local Nallah at 1.520 Km. on Sankenguda to Padmapur Road in the district of Kalahandi for the year 2025-26 under Setu Bandhana Yojana,Please refer Tender documents. ,NA ,"3,56,82,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Dharmagarh/Kalahandi,766105.0,NA ,NA ,NA ,"O/o the CCE RW Circle, Bhawanipatna",No ,No,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2943040,ABHISEK KUMAR AGRAWAL,30-May-2025 01:38 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,.pdf,"ATO, Similar Nature of Work, Work hand,Work experience, machinarie and other document as per DTCN",,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2943469,AJAY KUMAR JAIN,30-May-2025 03:38 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2942519,ANKITA MUND,30-May-2025 04:27 PM,Rejected-Technical,Disqualified,10-Sep-2025 01:23 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2942684,Ankit Kumar Agrawal,30-May-2025 02:09 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2941729,Bharat Bhusan Panda,30-May-2025 01:20 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2943619,BIBEK KUMAR AGARWAL,30-May-2025 04:21 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2930018,BIJAYA KUMAR BEHERA,29-May-2025 12:04 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2939022,BIKRAM KUMAR GUPTA,29-May-2025 08:16 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2939209,B. K. Construction Co.,28-May-2025 09:44 PM,Rejected-Finance,Not selected in lottery,21-Sep-2025 07:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
