Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality J.E Umerkote Municipality Accountant Umerkote Municipality,ALAK KUMAR ANUGULIA,26-Jul-2025 05:00 PM,techsummary_534807.pdf (14371.10 KB),29-Oct-2025,"INR 181,346",60.0,Aswini Kumar Patnaik,20-Nov-2025 11:28 AM,AOC.pdf (424.00 KB),LOA issued in favour of KUSHA SAHU as he is qualified as L1 bidder......,1,2877055,KUSHA SAHU,06-Apr-2025 11:54 AM,Accepted-AOC,qualified as L1 bidder......,20-Nov-2025 11:28 AM,Finance,total two nos of bidders found in bidding.............,ALAK KUMAR ANUGULIA,25-Jul-2025 11:46 PM,,BOQ Comparative Chart,1.0,2877055.0,KUSHA SAHU,INR,"181,346",Municipal Bodies||Umerkote Municipality,2025_ORULB_112064_1,UKTM-MUN- 01/2025-26(38),Construction of Paver Block road from Gobinda Saha house to Lal mahmmad house in Ward No 09,Smt. RADHA BHATRA,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality A.E Umerkote Municipality Accountant Umerkote Municipality,Aswini Kumar Patnaik,16-Oct-2025 11:55 AM,finsummary_534807.pdf (1713.72 KB),AOC,02-Apr-2025 10:00 AM,15-Apr-2025 11:00 AM,02-Apr-2025 10:00 AM,11-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 10:00 AM,11-Apr-2025 05:00 PM,Executive Officer,Umerkote Municipality,Construction of Paver Block road from Gobinda Saha house to Lal mahmmad house in Ward No 09,Civil Work,Please refer to Tender Documents ,NA ,,Civil Works - Roads,NA ,Tender,180.0,60.0,Umerkote Municipality,764073.0,NA ,NA ,NA ,Umerkote Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,Regd Certificates,GSTIN,PAN etc...",Municipal Bodies||Umerkote Municipality,UKTM-MUN- 01/2025-26(38),2025_ORULB_112064_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,133",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,AOC
,,,,,,,,,,,,,2,2879408,SUBHASRI SAMAL,09-Apr-2025 12:06 PM,Rejected-Finance,L2 bidder,16-Oct-2025 11:55 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
