Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
ST and SC Development Deptt||ITDA Panposh,ITDAPAN-01/2025-26,2025_STSCD_115923_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,23-Jul-2025 10:00 AM,07-Aug-2025 11:00 AM,23-Jul-2025 10:00 AM,06-Aug-2025 05:00 PM,NA ,NA ,23-Jul-2025 10:00 AM,06-Aug-2025 05:00 PM,Construction of Additional Hostel room and New kitchen room with Deep Borewell of PSH at Dalki Primary School under Kuarmunda block.,Construction of Additional Hostel room and New kitchen room with Deep Borewell of PSH at Dalki Primary School under Kuarmunda block.,Please refer Tender documents. ,NA ,"37,27,097",Civil Works - Others,NA ,Tender,90.0,180.0,ITDA PANPOSH,769012.0,NA ,NA ,NA ,ITDA PANPOSH,No ,No,PA ITDA PANPOSH,pa itda panposh uditnagar rourjkela 12,1.0,Fee/PreQual/Technical/Finance,.pdf,PAN GST VALIED REGISTRATION CERTIFICATE NO RELATION AFFIDAVIT,"37,271",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,1,3025109,ASHOK SUNANI,05-Aug-2025 09:04 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,06-Nov-2025,"INR 3,168,405",180.0,Hruda Nanda Pati,06-Nov-2025 11:43 AM,WONo5.pdf (586.00 KB),"Nibha Mishra, the Lottery winner","Collector, Sundargarh",Internal,"COLLECTOR, SNG, PA, ITDA, PANPOSH, SE. ROURKELA IRRIGATION DIVN., PANPOSH , AEE ITDA PANPOSH",Bikrani Kispatta,13-Oct-2025 01:26 PM,techsummary_546983.pdf (27537.52 KB),ST and SC Development Deptt||ITDA Panposh,2025_STSCD_115923_5,ITDAPAN-01/2025-26,Construction of Additional Hostel room and New kitchen room with Deep Borewell of PSH at Dalki Primary School under Kuarmunda block.,"Collector, Sundargarh",Internal,"Collector, Sundargarh, SE, Rourkela Irrigation Divn., PA, ITDA, Panposh, AEEs of all blocks",Hruda Nanda Pati,04-Nov-2025 04:42 PM,finsummary_546983.pdf (30569.39 KB),Finance,Submission of Proceedings,Bikrani Kispatta,23-Sep-2025 06:28 PM,finance_546983.pdf,BOQ Comparative Chart,1.0,3015995.0,NIBHA MISHRA,INR,"3,168,405",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,3025756,DAYANAND SAHOO,06-Aug-2025 01:57 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3023097,DEEPAK KUMAR SAHU,04-Aug-2025 02:31 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3023755,DHANESWAR MAJHI,04-Aug-2025 07:54 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3025977,GANESH THAKUR,06-Aug-2025 04:34 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3024884,GOPAL SAHOO,05-Aug-2025 05:02 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3024686,KALIA CONSTRUCTION,06-Aug-2025 11:34 AM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3021225,KUNDAN JAISWAL,02-Aug-2025 11:51 AM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3015995,NIBHA MISHRA,28-Jul-2025 10:08 PM,Accepted-AOC,Accepted,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3025932,PRAHALAD GANDHA,06-Aug-2025 04:08 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3025976,PRAKASH KUMAR NAYAK,06-Aug-2025 04:33 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3023056,SANJAY JAISWAL,04-Aug-2025 01:24 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,3025892,SANJU SAHOO,06-Aug-2025 03:41 PM,Rejected-AOC,Rejected,06-Nov-2025 11:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
