S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,"7,080",0.0,Nil,Nil,Yes,"12,821",Yes,percentage,1.0%,Nil,Nil,EE LI DIVISION BHUBANESWAR,EE LI DIVISION BHUBANESWAR,1.0,Fee/PreQual/Technical/Finance,.pdf,PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,15-May-2025 10:00 AM,23-May-2025 11:00 AM,15-May-2025 10:00 AM,22-May-2025 05:00 PM,15-May-2025 10:00 AM ,21-May-2025 05:00 PM ,15-May-2025 10:00 AM,22-May-2025 05:00 PM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-1280/2025-26 DT.09.05.2025,2025_OLIC_113371_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,REVIVAL AND RE-ENERGISATION OF ANATIRISA-II LIP UNDER BRAHMAGIRI BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF ANATIRISA-II LIP UNDER BRAHMAGIRI BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,PLEASE REFER TENDER DOCUMENTS ,NA ,"12,82,117",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BRAHMAGIRI,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,AOC,1.0,2927305.0,BIJAYA KUMAR JENA,INR,"1,089,927","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_113371_7,BID NO-1280/2025-26 DT.09.05.2025,REVIVAL AND RE-ENERGISATION OF ANATIRISA-II LIP UNDER BRAHMAGIRI BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,21-Nov-2025 04:38 PM,techsummary_539325.pdf (978.01 KB),21-Nov-2025,"INR 1,089,927",90.0,SUJIT KUMAR MOHANTY,21-Nov-2025 04:41 PM,ANATIRISA.pdf (978.00 KB),Work order and agreement completed,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,21-Nov-2025 04:40 PM,finsummary_539325.pdf (978.01 KB),Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,23-May-2025 12:34 PM,finance_539325.pdf,BOQ Comparative Chart,1,2925676,AGRAWALLA POWER INFRASTRUCTURE,22-May-2025 10:38 AM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2927305,BIJAYA KUMAR JENA,22-May-2025 03:54 PM,Accepted-AOC,Work order and agreement completed,21-Nov-2025 04:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2928448,HAREKRUSHNA ROUT,22-May-2025 12:42 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2928119,JITENDRA SARANGI,22-May-2025 09:08 AM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2923719,LOKANATH DASH,22-May-2025 03:03 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2925430,MS Shree Shyam and Co,21-May-2025 06:54 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2926519,PRAKASH CHANDRA BARIK,20-May-2025 05:48 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2928537,PRATAP JENA,22-May-2025 03:42 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2927601,RAJESH KUMAR SAHOO,21-May-2025 04:41 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2926473,SHREE KISHAN ENTERPRISES,21-May-2025 04:10 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2927784,S.R CONSTRUCTIONS PROP-SUJATA RAY,21-May-2025 06:51 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2927239,SUKANTA KUMAR SAHOO,21-May-2025 12:53 PM,Rejected-Technical,Rejected,21-Nov-2025 04:38 PM,AOC
