S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,ST and SC Development Deptt||ITDA Panposh,ITDAPAN-01/2025-26,2025_STSCD_115923_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,23-Jul-2025 10:00 AM,07-Aug-2025 11:00 AM,23-Jul-2025 10:00 AM,06-Aug-2025 05:00 PM,NA ,NA ,23-Jul-2025 10:00 AM,06-Aug-2025 05:00 PM,"5,240",Yes,fixed,,Nil,Nil,Digging of Borewell and installation of Solar Irrigation system at Jaharitoli village (Bedatoli) under Nuagaon Block,Digging of Borewell and installation of Solar Irrigation system at Jaharitoli village (Bedatoli) under Nuagaon Block,Please refer Tender documents. ,NA ,"5,24,034",Civil Works - Others,NA ,Tender,90.0,90.0,ITDA PANPOSH,769012.0,NA ,NA ,NA ,ITDA PANPOSH,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,PAN GST VALIED REGISTRATION CERTIFICATE NO RELATION AFFIDAVIT,PA ITDA PANPOSH,pa itda panposh uditnagar rourkela 12,AOC,"Collector, Sundargarh",Internal,"Collector, Sundargarh, SE, Rourkela Irrigation Divn., PA, ITDA, Panposh, AEEs of all blocks",Hruda Nanda Pati,04-Nov-2025 05:47 PM,finsummary_546991.pdf (30569.39 KB),"Collector, Sundargarh",Internal,"Collector, SNG, PA, ITDA, Panposh, SE, Rourkela Irrigation Divn., AEE, ITDA, Panposh",Bikrani Kispatta,15-Oct-2025 11:01 AM,techsummary_546991.pdf (27537.52 KB),1,3020496,AMIT KUMAR KESHARI,01-Aug-2025 02:40 PM,Accepted-AOC,Accepted,06-Nov-2025 04:54 PM,1.0,3020496.0,AMIT KUMAR KESHARI,INR,"445,481",ST and SC Development Deptt||ITDA Panposh,2025_STSCD_115923_12,ITDAPAN-01/2025-26,Digging of Borewell and installation of Solar Irrigation system at Jaharitoli village (Bedatoli) under Nuagaon Block,06-Nov-2025,"INR 445,481",90.0,Hruda Nanda Pati,06-Nov-2025 04:54 PM,WONo12.pdf (453.00 KB),"Amit Ku. Keshari, the lottery winner",Finance,Submission of Proceedings,Bikrani Kispatta,23-Sep-2025 06:53 PM,finance_546991.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,2,3025825,BIKRANT SAHOO,06-Aug-2025 02:41 PM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3025429,DM Constructions,06-Aug-2025 11:03 AM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3020488,HEMA KUMARI,01-Aug-2025 02:33 PM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3025466,KALIA CONSTRUCTION,06-Aug-2025 11:26 AM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3019648,NAKUL RAY,31-Jul-2025 07:15 PM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3023585,PRASANT KUMAR MAJHI,05-Aug-2025 05:00 AM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3025044,PUSPALATA BARIK,05-Aug-2025 08:03 PM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3016665,RAKESH ROSHAN XESS,29-Jul-2025 02:35 PM,Rejected-AOC,Rejected,06-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3017521,"SENNIMALAI GOUNDER DORAISWAMY,PROP- MAHENDRA BOREWELL",02-Aug-2025 05:27 PM,Rejected-Technical,L2,15-Oct-2025 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
