S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2928434.0,"M/s Ramchandi Construction, Nayagargh",INR,"913,765",Finance,s,Sanjib Kumar Behera,27-Nov-2025 04:25 PM,,BOQ Comparative Chart,Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,27-Nov-2025 04:34 PM,finsummary_539367.pdf (513.17 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,2025_EICCL_113387_1,eTCN01,SITC of Roof top Solar electrification with inverter backup 86 Interactive panel and 4 nos 1.5 ton Split type Ac of Laboratory Building at Krushi Vigyan Kendra Nayagarh,Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,27-Nov-2025 04:27 PM,techsummary_539367.pdf (585.48 KB),27-Nov-2025,"INR 913,765",30.0,Sanjib Kumar Behera,27-Nov-2025 04:54 PM,WOKVK.pdf (1002.00 KB),1,2929676,BABA ELECTRICAL CONSTRUCTION,23-May-2025 01:50 PM,Rejected-Finance,Selected through transparency lottery,27-Nov-2025 04:34 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"6,000",0.0,Nil,Nil,No,Superintending Engineer,Nayagarh RandB Division,SITC of Roof top Solar electrification with inverter backup 86 Interactive panel and 4 nos 1.5 ton Split type Ac of Laboratory Building at Krushi Vigyan Kendra Nayagarh,SITC of Roof top Solar electrification with inverter backup 86 Interactive panel and 4 nos 1.5 ton Split type Ac of Laboratory Building at Krushi Vigyan Kendra Nayagarh,Please refer Tender documents. ,NA ,"10,74,891",Electrical Works,NA ,Tender,90.0,30.0,Nayagarh,752069.0,NA ,NA ,NA ,Nayagarh RandB Division,No ,No,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,eTCN01,2025_EICCL_113387_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,749",Yes,percentage,1.0%,Nil,Nil,15-May-2025 10:00 AM,26-May-2025 11:00 AM,15-May-2025 10:00 AM,23-May-2025 05:00 PM,NA ,NA ,15-May-2025 10:00 AM,23-May-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2926537,Dillip Ranjan Das,20-May-2025 06:11 PM,Rejected-Finance,Selected through transparency lottery,27-Nov-2025 04:34 PM,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,"DTCN, Licence, PAN, GST, affidavit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2928434,"M/s Ramchandi Construction, Nayagargh",22-May-2025 01:10 PM,Accepted-AOC,AOC,27-Nov-2025 04:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2929571,ONE STEP SOLUTIONS,23-May-2025 11:01 AM,Rejected-Finance,Selected through transparency lottery,27-Nov-2025 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2929698,POWERTECH ENGINEERING.TAPAS RANJAN PATI,23-May-2025 12:11 PM,Rejected-Finance,Selected through transparency lottery,27-Nov-2025 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2929550,RAKESH PATTANAYAK,23-May-2025 10:40 AM,Rejected-Finance,Selected through transparency lottery,27-Nov-2025 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2930267,SURABHI ELECTRICAL,23-May-2025 04:50 PM,Rejected-Finance,Selected through transparency lottery,27-Nov-2025 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
