S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3044901.0,Janaki Ballabha Sahu,INR,"1,440,841.63",Finance,"The Tender has been opened for the tender ID 2025_CEMIB_116940_2. 12 Nos. of bidders found for the work. After verification of all Bids documents, qualified bidders moved to further tender process.",Bijaya Kumar Parida,30-Aug-2025 11:43 AM,finance_549369.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Superintending Engineer, Asst. Executive Engineer (Estimator), Divisional Accounts Officer and Assistant Engineer (Estimator)",Nihar Ranjan Behera,30-Oct-2025 05:52 PM,finsummary_549369.pdf (250.98 KB),"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_116940_2,SEMIDRGD - 01/2025-26,Improvement to Baridi MIP in Gunupur Block of Rayagada District under Critical Grant 2025-26,Superintending Engineer,Internal,"Superintending Engineer, Assistant Executive Engineer (Estimator), Divisional Accounts Officer and Assistant Engineer (Estimator)",Nihar Ranjan Behera,30-Oct-2025 04:58 PM,techsummary_549369.pdf (250.98 KB),31-Oct-2025,"INR 1,440,841.63",90.0,Nihar Ranjan Behera,28-Nov-2025 10:18 PM,3_baridi.pdf (466.00 KB),Successful bidder in the Transparent Lottery. Deposited APSD and ISD Amounts,1,3050171,BHARATI SAHU,26-Aug-2025 03:54 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,"6,000",0.0,Nil,Nil,No,"S.E, M.I Division, Rayagada","O/o S.E, M.I Division, Rayagada",1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,ICICI BANK,16-Aug-2025 10:00 AM,29-Aug-2025 11:00 AM,16-Aug-2025 10:00 AM,26-Aug-2025 05:00 PM,16-Aug-2025 10:00 AM ,25-Aug-2025 05:00 PM ,16-Aug-2025 10:00 AM,26-Aug-2025 05:00 PM,"17,000",Yes,fixed,,Nil,Nil,Improvement to Baridi MIP in Gunupur Block of Rayagada District under Critical Grant 2025-26,Improvement to Baridi MIP in Gunupur Block of Rayagada District under Critical Grant 2025-26,Please refer Tender documents. ,NA ,"16,94,908",Civil Works - Others,NA ,Tender,90.0,90.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o S.E, M.I Division, Rayagada",No ,No,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",SEMIDRGD - 01/2025-26,2025_CEMIB_116940_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3049481,BIJAYA JAGERANGA,26-Aug-2025 11:44 AM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3042980,BISWAJIT NAYAK,25-Aug-2025 06:40 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,.pdf,RC PAN GSTIN Affidavit regarding Authenticity No Relation and litigation debarring certificate etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3044901,Janaki Ballabha Sahu,23-Aug-2025 02:08 PM,Accepted-AOC,Successful bidder in the Transparent Lottery. Deposited APSD and ISD Amounts,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3050159,JANI VENKATA RAO BAURI,26-Aug-2025 03:53 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3045310,Jeetendra Goudo,23-Aug-2025 12:15 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3043183,K NAGABHUSANA PATNAIK,24-Aug-2025 12:31 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3050122,NIRMALA SAHU,26-Aug-2025 03:34 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3040025,RAJENDRA PRASAD SAHU,20-Aug-2025 04:04 PM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3049226,RASMITA SAHUKAR,26-Aug-2025 08:46 AM,Rejected-AOC,Unsuccessful bidder in the Transparent Lottery,28-Nov-2025 10:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
