Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Finance,Accepted,Narendra Kumar Ghadei,06-May-2025 12:12 PM,,BOQ Comparative Chart,1.0,2906192.0,PRAMOD KUMAR JENA,INR,"1,859,078",EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-III-BBSR,2025_EICCL_112921_1,eTCN-03 of 2025-26,Shifting of 11 KV line for Improvement and widening of 100feet road from OERC Square to Left Parallel road via Kanyashram from 0.00km to 0.500km C.S.Pur Bhubaneswar.,Sri N.K.Ghadai S.E.,Internal,Sri S.K.Mishra Sr.D.A.O M.Rath AEEstimator,Narendra Kumar Ghadei,10-Nov-2025 12:59 PM,finsummary_537955.pdf (1377.13 KB),Sri N.K.Ghadai S.E.,Internal,Sri S.K.Mishra Sr.D.A.O M.Rath AE Estimator,Narendra Kumar Ghadei,10-Nov-2025 12:49 PM,techsummary_537955.pdf (1377.13 KB),1,2904381,Asmacs.Prop.Dev Mohanty,03-May-2025 05:30 PM,Rejected-Finance,Disqualified through transparent lottery,10-Nov-2025 12:59 PM,10-Nov-2025,"INR 1,859,078",30.0,Narendra Kumar Ghadei,10-Nov-2025 01:05 PM,OERCPKEnterprisers.pdf (1377.00 KB),Work awarded,AOC,Shifting of 11 KV line for Improvement and widening of 100feet road from OERC Square to Left Parallel road via Kanyashram from 0.00km to 0.500km C.S.Pur Bhubaneswar.,Shifting of 11 KV line for Improvement and widening of 100feet road from OERC Square to Left Parallel road via Kanyashram from 0.00km to 0.500km C.S.Pur Bhubaneswar.,Pl refer DTCN ,NA ,"21,86,893",Electrical Works,Shifting work ,Tender,90.0,30.0,Bhubaneswar,751001.0,NA ,NA ,NA ,O.O.S.E.BBSR RandB Divn No.3 Bhubaneswar,No ,No,29-Apr-2025 03:25 PM,06-May-2025 11:30 AM,29-Apr-2025 03:25 PM,05-May-2025 05:30 PM,NA ,NA ,29-Apr-2025 03:25 PM,05-May-2025 05:30 PM,EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-III-BBSR,eTCN-03 of 2025-26,2025_EICCL_112921_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"On line proof copy of Tender cost and EMD, GSTIN, PAN, RC and Affidavit as per DTCN","21,869",Yes,fixed,,Nil,Nil,S.E.BBSR R and B Division No.3,Infront of Nirman Soudha Unit 5 Bhubaenswar Dist Khordha Odisha,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2906429,AYUSH POWER INFRASTRUCTURE,05-May-2025 05:01 PM,Rejected-Finance,Disqualified through transparent lottery,10-Nov-2025 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,boq,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2903973,MODERN WINDING AND ELECTRICALS,03-May-2025 01:22 PM,Rejected-Finance,Disqualified through transparent lottery,10-Nov-2025 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2904404,M/s BASANTI ELECTRICALS AND CONSTRUCTION,03-May-2025 01:57 PM,Rejected-Finance,Disqualified through transparent lottery,10-Nov-2025 12:59 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2906192,PRAMOD KUMAR JENA,05-May-2025 02:28 PM,Accepted-AOC,Work awarded through transparent lottery,10-Nov-2025 01:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
