Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
"Chief Construction Engineer, R.W.Circle, BAM","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/27-2024-25/BPR,2025_CERWI_110775_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Experience,Bid security and other documents as per DTCN",15-Feb-2025 05:00 PM,01-Mar-2025 11:00 AM,15-Feb-2025 05:00 PM,28-Feb-2025 05:30 PM,15-Feb-2025 05:00 PM ,25-Feb-2025 05:30 PM ,15-Feb-2025 05:00 PM,28-Feb-2025 05:30 PM,28-Mar-2025 11:00 AM,"5,09,800",Yes,fixed,,Nil,Nil,Construction of Taluk Court Building (Single storied) at Tumdibandha in the District of Kandhamal for the year 2023-24.,Construction of Taluk Court Building (Single storied) at Tumdibandha in the District of Kandhamal for the year 2023-24.,Please refer Tender documents. ,NA ,"5,09,77,000",Civil Works - Buildings,NA ,Tender,90.0,540.0,Balliguda,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM",No ,No,1.0,ICICI BANK,AOC,"Er. N.K.Das, CCE, RWC, BAM",Internal,,Lopamudra Dalai,29-Apr-2025 01:14 PM,finsummary_530427.pdf (743.50 KB),Technical,Documents to be verified,Lopamudra Dalai,27-Mar-2025 11:55 AM,technical_530427.pdf,CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_110775_2,Online Tender/27-2024-25/BPR,Construction of Taluk Court Building (Single storied) at Tumdibandha in the District of Kandhamal for the year 2023-24.,1.0,2840802.0,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,INR,"43,335,169",29-Oct-2025,"INR 43,335,169",540.0,Lopamudra Dalai,27-Nov-2025 12:06 PM,Tumudibandha.pdf (826.00 KB),1,2841307,Abhisek Goel,28-Feb-2025 02:05 PM,Rejected-AOC,5th Lowest,27-Nov-2025 12:06 PM,Finance,Documents to be verified,Swagatika Rauto,16-Apr-2025 02:40 PM,finance_530427.pdf,BOQ Comparative Chart,"Er. N.K.Das, CCE, RWC, BAM",Internal,"Junior Engineer,R.W.Circle,BAM P.A. to CCE,R.W.Circle, BAM SE,R.W.Divn-II,Gm,BAM",Lopamudra Dalai,27-Mar-2025 11:57 AM,28-Mar-2025 11:00 AM,techsummary_530427.pdf (641.11 KB),1.0,Corrigendum,REVOCATION OF TENDER,27-Mar-2025 11:47 AM,1067.pdf ,625.51,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2841740,ASISH KUMAR MOHANTY,28-Feb-2025 05:10 PM,Rejected-Technical,DIS-QUALIFIED,27-Mar-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2841711,DHRUTI CONSTRUCTION & DEVELOPMENT PVT. LTD.,28-Feb-2025 05:11 PM,Rejected-AOC,5th Lowest,27-Nov-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2830620,JOGENDRA KUMAR MOHANTY,26-Feb-2025 05:38 PM,Rejected-AOC,3rd Lowest,27-Nov-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2830433,M/s SHREE INFRA AND CO,22-Feb-2025 12:06 PM,Rejected-AOC,1st Lowest,27-Nov-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2840802,M/S SHREE SHYAM INFRA PROP. SRI LOKESH SHARMA,28-Feb-2025 10:28 AM,Accepted-AOC,Successful bidders after lottery system,27-Nov-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2840658,PRAMOD KUMAR SAHOO,27-Feb-2025 05:07 PM,Rejected-AOC,4th Lowest,27-Nov-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2841475,Raghunandan Agrawal,28-Feb-2025 02:01 PM,Rejected-AOC,5th Lowest,27-Nov-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2841252,Rajendra Kumar Panda,28-Feb-2025 01:58 PM,Rejected-AOC,2nd Lowest,27-Nov-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2841547,RAMESWAR PANIGRAHI,28-Feb-2025 02:59 PM,Rejected-Technical,DIS-QUALIFIED,27-Mar-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,AOC
