S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN, Affidavit, Bid Security,Undertakings , NRC, GSTIN and any other documents as per DTCN.","6,000",0.0,Nil,Nil,No,"Superintending Engineer, Mahanadi Barrage Division","Superintending Engineer, Mahanadi Barrage Division ,Gandarpur,Cuttack,753003",24-Jul-2025 10:00 AM,04-Aug-2025 10:00 AM,24-Jul-2025 10:00 AM,02-Aug-2025 05:00 PM,24-Jul-2025 10:00 AM ,02-Aug-2025 04:00 PM ,24-Jul-2025 10:00 AM,02-Aug-2025 05:00 PM,"1)Providing staff for operation (Gate Operator, Electrician, Generator Operator and Gauge Reader) for Mahanadi, Birupa and Naraj Barrage for the year 2025-26 for the period from 18th August 2025 to 31st March 2026.(MBD53)","Providing staff for operation (Gate Operator, Electrician, Generator Operator and Gauge Reader) for Mahanadi, Birupa and Naraj Barrage for the year 2025-26 for the period from 18th August 2025 to 31st March 2026.(MBD53)",Please refer tender documents ,NA ,"20,25,169",Human Resources Supply,NA ,Tender,90.0,194.0,Cuttack,753003.0,NA ,NA ,NA ,"Superintending Engineer, Mahanadi Barrage Division",No ,No,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",e Procurement Notice No.12/2025-26,2025_CELBB_115885_1,Yes,Open Tender,Item Rate,Services,1.0,No,No,Online,No,No,No,"20,255",Yes,fixed,,Nil,Nil,AOC,SEMBD,Internal,DAO,Kartika Samal,18-Aug-2025 01:24 PM,finsummary_546904.pdf (545.41 KB),"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",2025_CELBB_115885_1,e Procurement Notice No.12/2025-26,"1)Providing staff for operation (Gate Operator, Electrician, Generator Operator and Gauge Reader) for Mahanadi, Birupa and Naraj Barrage for the year 2025-26 for the period from 18th August 2025 to 31st March 2026.(MBD53)",1.0,3017139.0,G.MANJU SERVICES PRIVATE LIMITED,INR,"2,025,170",Finance,Total 11 nos bidder are participated.,CHANDRA SEKHARA SETHY,06-Aug-2025 06:00 PM,,BOQ Comparative Chart,1,3019448,ACTIVE SECURITY AND INTELLIGENCE SEVICES,31-Jul-2025 04:37 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,18-Aug-2025 01:24 PM,18-Aug-2025,"INR 2,025,170",194.0,Kartika Samal,12-Nov-2025 01:51 PM,Wo53.pdf (346.00 KB),"Work has been awarded to G.manju service privat.The date of commencement/contract may please be recorded as dt.18.08.2025.The deposit towards EMD and ISD has been received in favour of SE MBD, Cuttack",SEMBD,Internal,DAO,CHANDRA SEKHARA SETHY,06-Aug-2025 07:00 PM,techsummary_546904.pdf (3316.92 KB),AOC
2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3018539,AP MANPOWER CONSULTANCY & SECURITY PRIVATE LIMITED,30-Jul-2025 06:15 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,18-Aug-2025 01:24 PM,,,,,,,,,,,,,,AOC
,,,,.pdf,Detailed Calculation Sheet as per page no.38 of DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3017139,G.MANJU SERVICES PRIVATE LIMITED,31-Jul-2025 07:49 PM,Accepted-AOC,Lottery Winner,12-Nov-2025 01:51 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3018242,Hirekarma Private Limited,01-Aug-2025 11:10 PM,Rejected-Technical,Disqualified due to not furnishing the EMD.,06-Aug-2025 07:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3020775,M/s. KALINGA WARRIORS SECURITY SERVICES,02-Aug-2025 10:32 AM,Rejected-Technical,Disqualified due to not furnishing the EMD.,06-Aug-2025 07:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3018782,M/s. Shantiram Agency,30-Jul-2025 09:55 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,18-Aug-2025 01:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3021483,M/S SHRIYA SUBHAM AGENCIES,02-Aug-2025 02:52 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,18-Aug-2025 01:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3018257,NIRAKAR SECURITY AND CONSULTANCY SERVICES PVT. LTD.,02-Aug-2025 10:40 AM,Rejected-Finance,being unsuccessful tenderer on lottery system,18-Aug-2025 01:24 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3012446,SRIRAM INTELLIGENCE SECURITIES PVT. LTD.,01-Aug-2025 07:02 PM,Rejected-Technical,Disqualified due to wrong name of work in Affidavit,06-Aug-2025 07:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3016889,SURENDRA BARIK INFRASERVICE PRIVATE LIMITED,02-Aug-2025 03:45 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,18-Aug-2025 01:24 PM,,,,,,,,,,,,,,AOC
