S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2757598.0,"RENUBALA NAYAK,PROP.-GLOBAL TRADERS",INR,"714,116",Finance,qualified,Suraj Biswal,06-Nov-2025 02:05 PM,finance_525646.pdf,BOQ Comparative Chart,"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,06-Nov-2025 02:16 PM,finsummary_525646.pdf (1724.81 KB),CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,2025_CERWI_109390_7,E PROCUREMENT NOTICE NO.RWD-II/KPD-13/24-25,S/R to PWD Road to Badamanga for the year 2024-25,"SE RW Division-II, Kendrapara",Internal,,Suraj Biswal,06-Nov-2025 02:11 PM,techsummary_525646.pdf (1724.81 KB),06-Nov-2025,"INR 714,116",15.0,Suraj Biswal,06-Nov-2025 02:25 PM,badamanga.pdf (1725.00 KB),1,2767333,ABHAYA KUMAR DAS,22-Jan-2025 01:26 PM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,"SE R.W Division-II, Kendrapara","SE R.W Division-II, Kendrapara near Hatagada Chhac",CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION II-KENDRAPARA,E PROCUREMENT NOTICE NO.RWD-II/KPD-13/24-25,2025_CERWI_109390_7,Yes,Open Tender,Percentage,Services,1.0,No,No,Online,No,No,No,"8,400",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,S/R to PWD Road to Badamanga for the year 2024-25,S/R to PWD Road to Badamanga for the year 2024-25,Please refer Tender documents. ,NA ,"8,40,000",Miscellaneous Services,NA ,Tender,90.0,15.0,Kendrapa,754212.0,NA ,NA ,NA ,"SE R.W Division-II, Kendrapara near Hatagada Chhac",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST, PAN Regd Certificate as per DTCN",15-Jan-2025 01:00 PM,23-Jan-2025 11:00 AM,15-Jan-2025 01:00 PM,22-Jan-2025 05:00 PM,15-Jan-2025 01:00 PM ,21-Jan-2025 05:00 PM ,15-Jan-2025 01:00 PM,22-Jan-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2760620,ABINASH MOHANTY,17-Jan-2025 06:09 PM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2769030,ADHAR KUMAR SAMAL,22-Jan-2025 08:03 AM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2764928,Anath Kumar Pradhan,20-Jan-2025 10:34 AM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2753763,ANUSUYA NAYAK,16-Jan-2025 11:07 PM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2770125,BHAGABAT MALLIK,22-Jan-2025 01:21 PM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2771056,BISWAJEET DAS,22-Jan-2025 03:21 PM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2763357,Chitta Ranjan Behura,18-Jan-2025 04:11 PM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2757440,Debidutta Kuanr,17-Jan-2025 11:41 AM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2768653,GAGAN BIHARI DASH,22-Jan-2025 12:56 PM,Rejected-AOC,Not Qualified,06-Nov-2025 02:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
