Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"7,080",0.0,Nil,Nil,No,"Executive Engineer-III, BDA, Bhubaneswar","Office of the Executive Engineer-III, BDA, Bhubaneswar",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, GST, PAN, EPF and ESI, RC and Tender Cost","11,012",Yes,percentage,1.0%,Nil,Nil,"Extension of Yoga Pindi and Construction of Shed over Yoga Pindi in N-1 Park, Nayapalli, Bhubaneswar","Extension of Yoga Pindi and Construction of Shed over Yoga Pindi in N-1 Park, Nayapalli, Bhubaneswar",Please refer Tender documents. ,NA ,"11,01,169",Civil Works - Others,NA ,Tender,90.0,45.0,Bhubaneswar,751001.0,NA ,NA ,NA ,"Executive Engineer-III, BDA, Bhubaneswar",No ,No,Bhubaneswar Development Authority||Bhubaneswar Development Authority,"BDA/01-EE-III/2025-26, Dated-03/06/2025",2025_BDABU_114248_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,05-Jun-2025 06:45 PM,17-Jun-2025 11:30 AM,05-Jun-2025 06:45 PM,16-Jun-2025 05:00 PM,NA ,NA ,05-Jun-2025 06:45 PM,16-Jun-2025 05:00 PM,AOC,Bhubaneswar Development Authority||Bhubaneswar Development Authority,2025_BDABU_114248_1,"BDA/01-EE-III/2025-26, Dated-03/06/2025","Extension of Yoga Pindi and Construction of Shed over Yoga Pindi in N-1 Park, Nayapalli, Bhubaneswar","EXECUTIVE ENGINEER-III, BDA, BHUBANESWAR.",Internal,"DAO, Estimator and Asst. Executive Engineer-III, Division No.III, BDA, Bhubaneswar.",Biswajeet Behera,18-Aug-2025 01:40 PM,finsummary_542362.pdf (493.30 KB),Finance,Tender documents downloaded and evaluation under process.,Biswajeet Behera,17-Jun-2025 12:32 PM,,BOQ Comparative Chart,1.0,2969406.0,MAMATA PATTANAYAK,INR,"936,104",1,2964814,ARJUN CHARAN PATI,12-Jun-2025 09:12 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,07-Nov-2025,"INR 936,104",45.0,Biswajeet Behera,07-Nov-2025 12:16 PM,AoCN.pdf (468.00 KB),Date of Commencement and Date of Completion is 04/09/2025 and 18/10/2025 respectively.,"EXECUTIVE ENGINEER-III, BDA, BHUBANESWAR.",Internal,"DAO, Estimator and Asst. Executive Engineer-III, BDA, Bhubaneswar.",Biswajeet Behera,18-Aug-2025 01:28 PM,techsummary_542362.pdf (493.30 KB),AOC
,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,All other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2957438,ASHI ENGINEERING PROP. SASANKA SEKHAR SENAPATI,13-Jun-2025 02:06 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2960190,BASANT KUMAR BISWAL,10-Jun-2025 06:33 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2963476,CHANDAN MUDULI,12-Jun-2025 12:35 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2959263,DHIREN KUMAR KHUNTIA,16-Jun-2025 10:18 AM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2962105,GYANA RANJAN PATRA,13-Jun-2025 05:02 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2965975,HEMANTA KUMAR SAHOO,13-Jun-2025 05:53 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2963034,JAYAPRAKASH MOHANTY,16-Jun-2025 12:26 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2968850,JITENDRA KUMAR MAHALI,16-Jun-2025 01:27 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2968851,LIPA SAMAL,16-Jun-2025 01:27 PM,Rejected-Finance,As per transparent lottery system.,18-Aug-2025 01:40 PM,,,,,,,,,,,,,,AOC
