Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Sub-Collector,Padampur-cum-Chairman,RMC, Padampur","At-Padampur, P.O. Rajborsambar, Dist. Bargarh 768036",1.0,Fee/PreQual/Technical/Finance,.pdf,As per DTCN,13-Oct-2025 01:40 PM,24-Oct-2025 11:30 AM,13-Oct-2025 01:40 PM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 01:45 PM,23-Oct-2025 05:00 PM,"6,000",Nil,Nil,No,"46,922",Yes,fixed,,Nil,Nil,"Construction of covershed, Open pindi and Barbed fencing and WBM Road at Bausenmura PPC of Sohela Block, RMC Padampur",Civil works,Please refer Tender documents. ,NA ,"46,92,195",Civil Works - Others,NA ,Tender,90.0,180.0,Bausenmura PPC,768038.0,NA ,NA ,NA ,"Office of RMC, Padampur",No ,No,1.0,ICICI BANK,Odisha State Agricultural Marketing Board||RMC Padampur,RMC PADAMPUR 3/2025-26,2025_OSAMB_119409_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,3136821,ARUN KUMAR AGRAWAL,20-Oct-2025 06:08 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,11-Nov-2025,"INR 4,692,195.32",180.0,SNEHA ARUGULA,14-Nov-2025 05:24 PM,Bausenmura.pdf (251.00 KB),Work order,"Sub-Collector,Padampur-cum-Chairperson,RMC, Padampur",Internal,"Secretary,RMC,Padampur,Assistant Engineer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board,Bhubabneswar",SNEHA ARUGULA,30-Oct-2025 07:57 PM,techsummary_555648.pdf (558.37 KB),Odisha State Agricultural Marketing Board||RMC Padampur,2025_OSAMB_119409_1,RMC PADAMPUR 3/2025-26,"Construction of covershed, Open pindi and Barbed fencing and WBM Road at Bausenmura PPC of Sohela Block, RMC Padampur","Sub-Collector,Padampur-cum-Chairperson,RMC, Padampur",Internal,"Secretary,RMC Padampur,Assistant Engineer,OSAM Board, Bhubaneswar and Junior Engineer,OSAM Board, Bhubaneswar",SNEHA ARUGULA,30-Oct-2025 08:26 PM,finsummary_555648.pdf (558.37 KB),Finance,Bid opened. All the 12 numbers bidders who have participated in online mode were found to be eligible and stood as L1. The tender will be finalised among the 12 bidders through a transparent lottery system. The lottery will be held on 01.11.25 at 3.30 PM,RABI NARAYAN PANDA,30-Oct-2025 06:57 PM,finance_555648.pdf,BOQ Comparative Chart,1.0,3146104.0,POOJA SHARMA,INR,"3,988,835",AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,2,3144984,ASHISH KUMAR AGRAWAL,23-Oct-2025 02:16 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3143985,Bhawani Sankar Harpal,23-Oct-2025 12:05 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3145026,CH SUBASH CHANDRA PATRO,23-Oct-2025 01:16 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3136751,GANGA SHARMA,20-Oct-2025 08:01 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3140626,KAMAL LOCHAN NAIK,22-Oct-2025 09:18 AM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3141628,MANAS RANJAN MISHRA,23-Oct-2025 08:02 AM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3146104,POOJA SHARMA,23-Oct-2025 04:16 PM,Accepted-AOC,Selected in lottery as L1 Bidder,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3143734,RAHUL KUMAR AGRAWAL,23-Oct-2025 10:08 AM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3145464,ROHAN KUMAR NAG,23-Oct-2025 02:21 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3137586,Sampreet Kumar Kamani,20-Oct-2025 09:30 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3145686,SANJAY KUMAR AGRAWAL,23-Oct-2025 04:22 PM,Rejected-AOC,Not selected,14-Nov-2025 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
