Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,RC PAN GST ATO similarnature of work experience affidavit etc as per DTCN,"10,000",0.0,Nil,Nil,No,Construction of Day care PHC Building at Dova under Kusumi block for the year 2024-25,Construction of Day care PHC Building at Dova under Kusumi block for the year 2024-25,NA ,NA ,"1,04,36,416",Civil Works - Buildings,NA ,Tender,90.0,365.0,"SERW Division, Rairangpur",757043.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, BARIPADA",No ,No,"1,04,364",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA,NCB 384,2025_CERWI_116514_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Circle Officer,"RURAL WORKS CIRCLE, BARIPADA",07-Aug-2025 11:00 AM,22-Aug-2025 11:00 AM,07-Aug-2025 11:00 AM,21-Aug-2025 05:00 PM,07-Aug-2025 11:00 AM ,20-Aug-2025 05:00 PM ,07-Aug-2025 11:00 AM,21-Aug-2025 05:00 PM,12-Sep-2025 11:00 AM,1.0,ICICI BANK,AOC,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,19-Sep-2025 04:39 PM,finsummary_548367.pdf (661.24 KB),Technical,10 Nos of bidders participated,Akshaya Kumar Naik,09-Sep-2025 01:39 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_116514_1,NCB 384,Construction of Day care PHC Building at Dova under Kusumi block for the year 2024-25,1.0,3043518.0,MOTINDRA NARAYAN BARIK,INR,"8,871,997",1,3043045,BARENDRA KRISHNA MATAGAJSINGH,21-Aug-2025 10:33 AM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,10-Nov-2025,"INR 8,871,997",365.0,Akshaya Kumar Naik,25-Nov-2025 05:57 PM,Dova.pdf (734.00 KB),Finance,10 Nos of bidders admitted,Akshaya Kumar Naik,19-Sep-2025 12:55 PM,,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,09-Sep-2025 04:20 PM,12-Sep-2025 11:00 AM,techsummary_548367.pdf (690.23 KB),AOC
,,.pdf,EI and PH Agreement with valid Licence etc as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,2,3042641,BIKRAM KUMAR HANSDAH,20-Aug-2025 03:45 PM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3042634,DEEPAK KUMAR MOHANTY,21-Aug-2025 11:16 AM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3041655,DILLIP KUMAR PARIDA,21-Aug-2025 12:10 PM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3043349,GAURANGA KUMAR KAR,21-Aug-2025 12:05 PM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3043658,Manoj Kumar Ram,21-Aug-2025 03:42 PM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3043518,MOTINDRA NARAYAN BARIK,21-Aug-2025 01:39 PM,Accepted-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3043054,SARBESWAR MOHANTA,20-Aug-2025 08:40 PM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3043484,TECHNO TRADING CORPORATION,21-Aug-2025 01:21 PM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3039407,TULASHI RAJAK,21-Aug-2025 12:21 PM,Rejected-AOC,L1,25-Nov-2025 05:57 PM,,,,,,,,,,,,,,,,,,,,AOC
