S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,"RC, PAN, GST, EPF, EPF Latest Challan, HT License issued by ELBO, Schedule D, Affidavit","11,800",0.0,Nil,Nil,No,08-Jul-2025 11:45 AM,22-Jul-2025 11:30 AM,08-Jul-2025 11:45 AM,21-Jul-2025 05:00 PM,NA ,NA ,08-Jul-2025 11:45 AM,21-Jul-2025 05:00 PM,03-Sep-2025 11:30 AM,"Supply, installation, testing and commissioning of 250kVA Silent type DG Set along with associated works including CAMC for IPICOL House, Bhubaneswar.","Supply, installation, testing and commissioning of 250kVA Silent type DG Set along with associated works including CAMC for IPICOL House, Bhubaneswar.",Please refer Tender documents. ,NA ,"39,47,205",Electrical Works,DG ,Tender,180.0,90.0,IPICOL House BBSR,751022.0,NA ,NA ,NA ,Office of CGM(PC),No ,No,"39,472",Yes,percentage,1.0%,Nil,Nil,IDCO||IDCO||IDCO,PC/EST/26/2025-26,2025_IDCO_115236_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CGM(PC),IDCO tower BBSR,AOC,1.0,3002842.0,CLAVAX POWER PRIVATE LIMITED,INR,"3,355,518.971",IDCO||IDCO||IDCO,2025_IDCO_115236_1,PC/EST/26/2025-26,"Supply, installation, testing and commissioning of 250kVA Silent type DG Set along with associated works including CAMC for IPICOL House, Bhubaneswar.",CGM(PC),Internal,,JAGABANDHU MAJHI,02-Sep-2025 11:40 AM,03-Sep-2025 11:30 AM,techsummary_545377.pdf (429.49 KB),12-Nov-2025,"INR 3,355,519",90.0,JAGABANDHU MAJHI,12-Nov-2025 11:46 AM,WO.pdf (2516.00 KB),CGM(PC),Internal,,JAGABANDHU MAJHI,28-Oct-2025 12:25 PM,finsummary_545377.pdf (2103.90 KB),Finance,Finance Bid opening summary,JAGABANDHU MAJHI,04-Sep-2025 11:03 AM,,BOQ Comparative Chart,Technical,Bid opening summary,JAGABANDHU MAJHI,22-Jul-2025 12:37 PM,technical_545377.pdf,1,3002842,CLAVAX POWER PRIVATE LIMITED,19-Jul-2025 11:07 AM,Accepted-AOC,Lowest qouted bidder,12-Nov-2025 11:46 AM,AOC
2,ICICI NEFT/RTGS,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3006029,RM ENTERPRISES,21-Jul-2025 02:54 PM,Rejected-AOC,Highest qouted bidder,12-Nov-2025 11:46 AM,AOC
