S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,3080501.0,HEMAKANTI BEHERA,INR,"1,275,135",Finance,Tender opened on 16.09.2025,Gyanaranjan Nayak,16-Sep-2025 08:32 PM,finance_551835.pdf,BOQ Comparative Chart,Gyanaranjan Nayak,Internal,Sitesh Kumar Arun Prakash Tete,Gyanaranjan Nayak,06-Nov-2025 01:29 PM,finsummary_551835.pdf (3726.34 KB),EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KANTABANJI,2025_EICCL_117778_3,10/KBJ/2025-26,S/R to Balangir Kantabanji Bangomunda Chandutora Road (SH-42) such as Pothole repair at from 6/00 Km. to 12/00 Km and 23/00 Km. to 25/00 Km. for the year 2025-26,Gyanaranjan Nayak,Internal,Sitesh Kumar Arun Prakash Tete,Gyanaranjan Nayak,20-Sep-2025 12:04 PM,techsummary_551835.pdf (1319.23 KB),1,3077146,ABHISHEK SARAF,12-Sep-2025 06:18 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,13-Nov-2025,"INR 1,275,135",30.0,Gyanaranjan Nayak,13-Nov-2025 04:01 PM,3935.pdf (1321.00 KB),Agreement drawn and Work Order issued on 01.11.2025,AOC,"6,000",0.0,Nil,Nil,No,"15,000",Yes,fixed,,Nil,Nil,Superintending Engineer Kantabanji (RandB) Divn.,O/O the Superintending Engineer Kantabanji (RandB) Division,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-KANTABANJI,10/KBJ/2025-26,2025_EICCL_117778_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Balangir Kantabanji Bangomunda Chandutora Road (SH-42) such as Pothole repair at from 6/00 Km. to 12/00 Km and 23/00 Km. to 25/00 Km. for the year 2025-26,S/R to Balangir Kantabanji Bangomunda Chandutora Road (SH-42) such as Pothole repair at from 6/00 Km. to 12/00 Km and 23/00 Km. to 25/00 Km. for the year 2025-26,Please refer tender documents ,NA ,"14,99,982",Civil Works - Roads,NA ,Tender,90.0,30.0,KANTABANJI,767039.0,NA ,NA ,NA ,O/O the S.E. Kantabanji (RandB) Division,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor Registration Certificate, CDMS Certificate, GST Registration Certificate, GSTIN, PAN",08-Sep-2025 02:00 PM,16-Sep-2025 11:30 AM,08-Sep-2025 02:00 PM,15-Sep-2025 05:00 PM,08-Sep-2025 02:00 PM ,11-Sep-2025 05:00 PM ,08-Sep-2025 02:00 PM,15-Sep-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3081785,ADHYAN INFRA,15-Sep-2025 04:26 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of correctness of documents, No Relationship Certificate, Other documents as per DTCN",,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3079381,AKASH KUMAR JAIN,14-Sep-2025 12:28 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3080455,Amit Agrawal,15-Sep-2025 02:14 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3081359,Anil Kumar Agrawal,15-Sep-2025 02:36 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3077366,BIMAL KUMAR JAIN,12-Sep-2025 05:28 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3079315,DUSILA SAHU,14-Sep-2025 08:49 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3074907,HARE KRUSHNASABAR,10-Sep-2025 08:23 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3080501,HEMAKANTI BEHERA,15-Sep-2025 11:13 AM,Accepted-AOC,Agreement drawn and Work Order issued on 01.11.2025,13-Nov-2025 04:01 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3081211,KHITEESUTA SAHU,15-Sep-2025 01:50 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3079420,MALATI BAG,14-Sep-2025 01:41 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3079069,MANISHA JAIN,14-Sep-2025 02:12 PM,Rejected-Finance,Stand L2 in transparent lottery,06-Nov-2025 01:29 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
