Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Er P C Mohapatra EIC (Civil-cum-Roads) Odisha,Internal,Er A K Giri EIC CE Buildings I Ic Odisha Er B K Nayak Addl CE Buildings I Odisha Smt P Samal FA,Bijaya Kumar Nayak,10-Mar-2025 05:14 PM,13-Mar-2025 11:15 AM,techsummary_525591.pdf (175.83 KB),Finance,Opening,Bijaya Kumar Nayak,13-Mar-2025 12:41 PM,,BOQ Comparative Chart,19-Nov-2025,"INR 145,774,133",547.0,Smita Sahoo,19-Nov-2025 01:43 PM,AOC_Borikina.pdf (61.00 KB),AOC,1,2772174,ARUN KUMAR NAYAK,23-Jan-2025 12:11 PM,Rejected-Finance,L1,20-Sep-2025 07:43 PM,1.0,2769682.0,SUSHREESARADA CONSTRUCTION PRIVATE LIMITED,INR,"145,774,133",Technical,11 Nos. Bidders Received,Bijaya Kumar Nayak,29-Jan-2025 01:37 PM,,EIC-CIVIL,2025_EICCL_109374_2,C.E. (B) - 26 / 2024-25,Construction of CHC Building at Borikina in District of Jagatsinghpur.,Principal Secretary to Govt. Works Dept Odisha,Internal,EIC Civil cum Roads Odisha CE Buildings I Odisha FA cum Special Secy to Govt Works Dept Odisha,Priyabrata Samantara,20-Sep-2025 07:43 PM,finsummary_525591.pdf (454.54 KB),AOC,13-Jan-2025 05:30 PM,29-Jan-2025 11:30 AM,13-Jan-2025 05:30 PM,28-Jan-2025 05:00 PM,NA ,NA ,13-Jan-2025 05:30 PM,28-Jan-2025 05:00 PM,13-Mar-2025 11:15 AM,1.0,ICICI BANK,EIC-CIVIL,C.E. (B) - 26 / 2024-25,2025_EICCL_109374_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.",Construction of CHC Building at Borikina in District of Jagatsinghpur.,Construction of CHC Building at Borikina in District of Jagatsinghpur.,Please refer Tender documents. ,NA ,"16,19,53,264",Civil Works - Buildings,NA ,Tender,90.0,547.0,JAGATSINGHPUR DIST.,754110.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,"10,000",0.0,Nil,Nil,No,"16,20,000",Yes,fixed,,Nil,Nil,"Chief Engineer, Buildings-I (I/C), Odisha, BBSR","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.",AOC
,,,,,,,,,,,,,,,,,,,,2,2774545,ASHISH AGARWAL,24-Jan-2025 03:05 PM,Rejected-Technical,Disqualified,10-Mar-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2783329,BIDYADHAR SWAIN,28-Jan-2025 02:11 PM,Rejected-Technical,Disqualified,10-Mar-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2779775,M/S KALINGA COMBINES PRIVATE LIMITED,28-Jan-2025 01:14 PM,Rejected-Technical,Disqualified,10-Mar-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2783941,M/s Lalitendu Satpathy,28-Jan-2025 03:52 PM,Rejected-Finance,L1,20-Sep-2025 07:43 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2781996,NAGEN KUMAR BISWAL,27-Jan-2025 10:08 PM,Rejected-Finance,L1,20-Sep-2025 07:43 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2758973,PABITRA MOHAN NAYAK,28-Jan-2025 03:12 PM,Rejected-Finance,L1,20-Sep-2025 07:43 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2779575,ROUTRAY DEVELOPER,27-Jan-2025 05:13 AM,Rejected-Technical,Disqualified,10-Mar-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2769682,SUSHREESARADA CONSTRUCTION PRIVATE LIMITED,21-Jan-2025 09:11 PM,Accepted-AOC,L1 (Selected through Transparent Lottery),19-Nov-2025 01:44 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,2779756,UCCHAB INFRASTRUCTURE PRIVATE LIMITED,28-Jan-2025 09:24 AM,Rejected-Finance,L2,20-Sep-2025 07:43 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
