S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3054830.0,PADMALOCHAN PRADHAN,INR,"4,497,781",S.E,Internal,EE and DAO,Monalisa Mahunta,11-Nov-2025 04:45 PM,finsummary_549700.pdf (833.14 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,2025_CERWI_117000_1,07 of 2025-26,"Construction of E Type Qtr. For R.W Section, Dampada-I and R.W Section, Dampada-II located within campus of R.W Section Office building (Dampada) at Jatamundia in the District of Cuttack for the year 2024-25.",Technical,Summary of Tender ID 2025_CERWI_117000_1,Chandini Suman Sahoo,30-Aug-2025 12:04 PM,technical_549700.pdf,Finance,Summary of Tender ID 2025_CERWI_117000_1,Chandini Suman Sahoo,16-Sep-2025 05:10 PM,finance_549700.pdf,BOQ Comparative Chart,SE,Internal,EE AND DAO,Rasmita Biswal,16-Sep-2025 04:02 PM,16-Sep-2025 04:05 PM,techsummary_549700.pdf (1239.44 KB),11-Nov-2025,"INR 4,497,781",270.0,Monalisa Mahunta,11-Nov-2025 05:00 PM,etype1.pdf (421.00 KB),Agreement drawn.,1,3053463,Aurobin Mahapatra,28-Aug-2025 10:17 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,"52,910",Yes,fixed,,Nil,Nil,"Construction of E Type Qtr. For R.W Section, Dampada-I and R.W Section, Dampada-II located within campus of R.W Section Office building (Dampada) at Jatamundia in the District of Cuttack for the year 2024-25.","Construction of E Type Qtr. For R.W Section, Dampada-I and R.W Section, Dampada-II located within campus of R.W Section Office building (Dampada) at Jatamundia in the District of Cuttack for the year 2024-25.",NA ,NA ,"52,90,884",Miscellaneous Works,NA ,Tender,90.0,270.0,Cuttack,753004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, CUTTACK",No ,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,07 of 2025-26,2025_CERWI_117000_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION NO.II, CUTTACK",1.0,Fee/PreQual/Technical,.pdf,Valid registration certificate GST PAN Schedule A E F and other documents as per DTCN,1.0,ICICI BANK,19-Aug-2025 11:00 AM,30-Aug-2025 11:30 AM,19-Aug-2025 11:00 AM,29-Aug-2025 05:00 PM,19-Aug-2025 11:00 AM ,29-Aug-2025 02:00 PM ,19-Aug-2025 11:00 AM,29-Aug-2025 05:00 PM,16-Sep-2025 04:05 PM,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3055197,KULDEEP MOHAPATRA,29-Aug-2025 04:53 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries as per Annexure-C,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3054847,Liizarani Baral,29-Aug-2025 03:21 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3043876,NETRANANDA ROUT,21-Aug-2025 06:57 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3054830,PADMALOCHAN PRADHAN,29-Aug-2025 04:00 PM,Accepted-AOC,Qualified after drawl of Lottery. The bidder is qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3054933,PRASANNA KUMAR RANA,29-Aug-2025 03:41 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3042724,SAHIL KHAN,20-Aug-2025 04:07 PM,Rejected-Technical,Due to not produce relavant documents as per DTCN,16-Sep-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3054310,"SARAT KUMAR SAHOO, PROP.- S S BUILDCON",29-Aug-2025 01:26 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3043954,Sumit Dhal,21-Aug-2025 08:33 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3043967,TIPU ROUT,21-Aug-2025 08:48 PM,Rejected-AOC,Dis-qualified after drawl of Lottery. The bidder is dis-qualified as per Tottery System.,11-Nov-2025 05:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
