Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
12-Sep-2024 10:00 AM,15-Oct-2024 11:00 AM,12-Sep-2024 10:00 AM,14-Oct-2024 05:30 PM,12-Sep-2024 10:00 AM ,19-Sep-2024 05:30 PM ,24-Sep-2024 10:00 AM,14-Oct-2024 05:30 PM,09-May-2025 09:00 AM,1.0,ICICI BANK,"CE-BM,B Right Basin,Dhenkanal",CERRIP-02/2024-25,2024_CEBMD_104802_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,2nd corrigendum Notice,Financial Bid,,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, PAN, Contractor RC etc","CE, RRIP, Dhenkanal","Office of the CE, RRIP, Mahisapat, Dhenkanal, PIN-759001","27,47,800",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,Excavation of Darpani Branch Canal from RD 62.907km to RD 65.890km including construction of its structures of Rengali Right Irrigation Project,"Excavation of Canal, Construction of Structures and Service Road",Please refer Tender documents. ,NA ,"27,47,72,455",Civil Works - Canal,NA ,Tender,90.0,730.0,Safa and Suanri of Cuttack District,754022.0,"O-o the CE, RRIP, Dhenkanal ","Office of the CE, RRIP, Mahisapat, Dhenkanal, PIN-759001 ",23-Sep-2024 11:00 AM ,"O-o the CE, RRIP, Dhenkanal",No ,No,AOC,Technical,Technical bid of all participated 15 nos of bidders opened and downloaded successfully,Ramesh Chandra Sahoo,15-Oct-2024 04:40 PM,technical_506543.pdf,"CE-BM,B Right Basin,Dhenkanal",2024_CEBMD_104802_1,CERRIP-02/2024-25,Excavation of Darpani Branch Canal from RD 62.907km to RD 65.890km including construction of its structures of Rengali Right Irrigation Project,"ACS to Govt, DoWR",Internal,"1. EIC, WR 2. EIC, Procurement 3. EIC, PD 4. Additional Secretary to Govt. Finance Department 5. Joint Secretary to Govt. Law Dept. 6. FA cum Addl. Secretary to Govt. DoWR 7. CE, RRIP",Pradeep Kumar Pradhan,04-Sep-2025 04:37 PM,finsummary_506543.pdf (576.75 KB),1.0,2571728.0,MSA CONSTRUCTION PRIVATE LIMITED,INR,"233,584,064",1,2560433,Bhagabati build and constructions Pvt Ltd,14-Oct-2024 11:46 AM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:37 PM,24-Oct-2025,"INR 233,584,064",730.0,Pradeep Kumar Pradhan,06-Nov-2025 11:03 AM,AOC.pdf (385.00 KB),"The work is awarded in favour of the 1st lowest bidder and winner of the lottery MSA Construction Private Limited, Super class Contractor","Additional Chief Secretary to Goverment, DOWR",Internal,"1. EIC, Water Resources 2. EIC, Procurement 3. EIC, Planning and Design 4. Joint Secretary to Government, Finance Department 5. FA-Cum Special Secretary to Govt. DOWR 6.CE, RRIP",Pradeep Kumar Pradhan,08-May-2025 12:23 PM,09-May-2025 09:00 AM,techsummary_506543.pdf (400.19 KB),Finance,The financial bid of 10 Nos of technically qualified bidders have opened and downloaded successfully.,Sribatsa Mohanty,09-May-2025 10:29 AM,finance_506543.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Corrigendum to item description in BOQ,Other,,,,.pdf,"Affidavits, undertakings and any other document as per Bid Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2573307,KALPATARU MOHANTY,14-Oct-2024 06:47 AM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2571728,MSA CONSTRUCTION PRIVATE LIMITED,09-Oct-2024 07:24 PM,Accepted-AOC,1st lowest bidder and winner of lottery,06-Nov-2025 11:04 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2572996,M/S GOURAV CONTRUCTION,13-Oct-2024 07:57 PM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2570791,M/S L.R. MAKKAR,14-Oct-2024 11:38 AM,Rejected-Technical,Technically Disqualified,08-May-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2573316,M/S SANTOSH KUMAR KHANDELWAL,10-Oct-2024 08:55 PM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2576386,R K ASSOCIATES,14-Oct-2024 04:55 PM,Rejected-Technical,Technically Disqualified,08-May-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2574242,SHIVAJYOTI CONPRO PVT. LTD.,14-Oct-2024 01:56 PM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2575401,Shree Balaji Engicons Limited,14-Oct-2024 11:38 AM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2560760,SIBA PRASAD PARIDA,07-Oct-2024 09:34 PM,Rejected-Finance,The bid of first lowest bidder and lottery winner is accepted.,04-Sep-2025 04:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
