Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Protection to scoured bank on saline embankment Patha near Kenkeyan Nallah,Civil Work,Please refer Tender documents. ,NA ,"36,26,998",Civil Works - Others,NA ,Tender,90.0,180.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/o the S.E, Jagatsinghpur Irrigation Division",No ,No,"36,300",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Superintending Engineer,"Jagatsinghpur Irrigation Division, Jagatsinghpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, Affidavit, NRC, undertakings, GSTIN, PAN and any other documents as per SBD/DTCN","CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",NOTICE NO.JID-01 OF 2025-26,2025_CELBB_112501_19,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,16-Apr-2025 01:00 PM,30-Apr-2025 11:00 AM,16-Apr-2025 01:00 PM,29-Apr-2025 05:30 PM,NA ,NA ,16-Apr-2025 01:00 PM,29-Apr-2025 05:30 PM,AOC,Superintending Engineer,Internal,,kamadev das,19-Jun-2025 09:36 AM,techsummary_536699.pdf (68.67 KB),Superintending Engineer,Internal,,kamadev das,19-Jun-2025 09:43 AM,finsummary_536699.pdf (68.67 KB),Finance,"The opening of the Technical and Financial Bid, it is found that 49 nos. of bidder has been participated in the above said work",kamadev das,03-May-2025 10:07 AM,,BOQ Comparative Chart,1,2899233,ANSUMAN BHUYAN,29-Apr-2025 09:19 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",2025_CELBB_112501_19,NOTICE NO.JID-01 OF 2025-26,Protection to scoured bank on saline embankment Patha near Kenkeyan Nallah,1.0,2894237.0,SOUMYA RANJAN SWAIN,INR,"3,591,753.51",20-Jun-2025,"INR 3,591,753.51",180.0,kamadev das,10-Nov-2025 11:16 AM,19.pdf (65.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2895366,ANUPAM SWAIN,26-Apr-2025 12:30 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2900622,ASHIS DAS,29-Apr-2025 04:12 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2897476,BATAKRUSHNA SETHY,28-Apr-2025 10:38 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2899697,BHABANI SANKAR SWAIN,29-Apr-2025 11:40 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2899319,BIKASH CHANDRA NAYAK,29-Apr-2025 08:15 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2893186,DASARATHI SWAIN,24-Apr-2025 12:15 AM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2894611,DEBASIS DAS,25-Apr-2025 01:14 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2895618,DEEPAK KUMAR NAYAK,26-Apr-2025 10:15 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2899124,GHANASHYAM SAHU,28-Apr-2025 10:30 PM,Rejected-Finance,Due to unsuccessful tender on lottery system,19-Jun-2025 09:43 AM,,,,,,,,,,,,,,,,AOC
