S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,3008573.0,MAHENDRA SUNIANI,24-Jul-2025 01:35 PM,Accepted-AOC,1st Lowest,13-Nov-2025 04:23 PM,1.0,3008573.0,MAHENDRA SUNIANI,INR,"504,123","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",2025_CEBBU_115404_10,SID-01/2025-26,Repairing of Canal Lining at RD 00m of Bairagibahal Sub Minor of Saraphgarh Irrigation Project,13-Nov-2025,"INR 504,123",150.0,Gobinda Chandra Majhi,13-Nov-2025 04:23 PM,08P1202526.pdf (4648.00 KB),WORK ORDER AND AGREEMENT COPY,Finance,Bid Opening Summary,Gobinda Chandra Majhi,13-Aug-2025 12:38 PM,finance_545739.pdf,BOQ Comparative Chart,SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,13-Nov-2025 04:20 PM,finsummary_545739.pdf (1080.85 KB),SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,13-Nov-2025 04:17 PM,techsummary_545739.pdf (1080.85 KB),AOC,"O/O THE SE, SID, SUNDARGARH","O/O THE SE, SID, SUNDARGARH AT/PO-SANKARA DIST-SUNDARGARH PIN-770020","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",SID-01/2025-26,2025_CEBBU_115404_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of Tender Paper Cost and EMD,"5,930",Yes,fixed,,Nil,Nil,Repairing of Canal Lining at RD 00m of Bairagibahal Sub Minor of Saraphgarh Irrigation Project,Repairing of Canal Lining at RD 00m of Bairagibahal Sub Minor of Saraphgarh Irrigation Project,Please refer Tender documents. ,NA ,"5,93,016",Civil Works - Canal,NA ,Tender,90.0,150.0,SUNDARGARH,770020.0,NA ,NA ,NA ,"O/O THE SE, SID, SUNDARGARH",No ,No,11-Jul-2025 10:00 AM,28-Jul-2025 11:00 AM,11-Jul-2025 10:00 AM,24-Jul-2025 05:30 PM,11-Jul-2025 10:00 AM ,24-Jul-2025 05:30 PM ,11-Jul-2025 10:00 AM,24-Jul-2025 05:30 PM,1.0,ICICI BANK,AOC
2.0,3010589.0,SANJEEB KUMAR CHHATRIA,24-Jul-2025 01:50 PM,Rejected-AOC,2nd Lowest,13-Nov-2025 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GSTIN, PAN Card, Contractor Registration Certificate, Affidavits towards authenticity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation Certificate, Other document as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"SIGNING OF BID The Online bidder shall digitally sign on all statements, documents by the bidder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
