Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
02-May-2025 09:00 AM,14-May-2025 10:00 AM,02-May-2025 09:00 AM,13-May-2025 05:00 PM,02-May-2025 09:00 AM ,09-May-2025 02:00 PM ,02-May-2025 09:00 AM,13-May-2025 05:00 PM,16-Jun-2025 11:00 AM,"5,74,000",Yes,fixed,,Nil,Nil,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",Construction of road from Karkaitiki to Diuda road under MMSY-CUVDA in the Districts of Koraput for the year 2024-25,Construction of road from Karkaitiki to Diuda road under MMSY-CUVDA in the Districts of Koraput for the year 2024-25,N.A ,NA ,"5,73,12,000",Civil Works - Roads,NA ,Tender,90.0,272.0,SUNABEDA,763001.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",1.0,CORRIGENDUM,Date,,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online-02/2025-26,2025_CERWI_113019_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC,1,2915417,BIKRAM KUMAR GUPTA,13-May-2025 02:29 PM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,21-Nov-2025,"INR 57,312,131.89",272.0,Rinku Nahak,21-Nov-2025 07:15 PM,AOCKARKAITIKI.pdf (657.00 KB),Award of contract to Sri Chetan Bisoi through transparency lottery system.,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda",Prabhakara Behera,11-Jun-2025 03:54 PM,16-Jun-2025 11:00 AM,techsummary_538178.pdf (702.91 KB),Finance,cs,Rinku Nahak,21-Nov-2025 07:02 PM,finance_538178.pdf,BOQ Comparative Chart,Technical,bidders name,Prabhakara Behera,11-Jun-2025 03:45 PM,technical_538178.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_113019_7,CCERWCSBD Online-02/2025-26,Construction of road from Karkaitiki to Diuda road under MMSY-CUVDA in the Districts of Koraput for the year 2024-25,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda",Rinku Nahak,21-Nov-2025 07:08 PM,finsummary_538178.pdf (467.21 KB),1.0,2912628.0,CHETAN BISOI,INR,"48,721,043.32",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,2,2907571,CHANDAN SINGH,07-May-2025 08:16 AM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2912628,CHETAN BISOI,12-May-2025 05:43 PM,Accepted-AOC,Award of contract to CHETAN BISOI through transparency lottery system.,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2913293,JAY PRAKASH SHARMA,13-May-2025 11:43 AM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2913034,KAMAL HALDAR,12-May-2025 01:23 PM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2905797,MANOJ KUMAR NAYAK,08-May-2025 05:13 PM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2916132,M/s SHREE INFRA AND CO,13-May-2025 02:52 PM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2913731,NARAYAN BISOI,12-May-2025 05:26 PM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2916224,RABI NARAYAN JENA,13-May-2025 04:58 PM,Rejected-Technical,DISQUALIFIED,11-Jun-2025 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2914531,Sandeep Bisoi,13-May-2025 12:34 PM,Rejected-AOC,REJECT,21-Nov-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
