S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3087992.0,Sarada Systems Pvt. Ltd.,INR,"6,987,552.1",Odisha Tourism Devl. Corp.,2025_OTDC_117894_1,BP II/03/2025-26 dt. 03.09.2025,Power Supply to Infrastructure Development at Saptasajya in Dhenkanal District.,S B Naik,Internal,"P K Jena, A S Swaain, S.K. Behera",Sabyasachi Naik,14-Oct-2025 06:12 PM,15-Oct-2025 11:30 AM,techsummary_552078.pdf (2311.44 KB),S B Naik,Internal,"P K Jena, A S Swain, D Malik",Sabyasachi Naik,29-Nov-2025 01:30 PM,finsummary_552078.pdf (578.76 KB),29-Nov-2025,"INR 8,245,665.36",90.0,Sabyasachi Naik,29-Nov-2025 01:36 PM,WOSaptasjya.pdf (1560.00 KB),Work Order issued,Finance,bidder list,Sabyasachi Naik,29-Nov-2025 01:18 PM,finance_552078.pdf,BOQ Comparative Chart,1,3093915,JHADESWAR ELECTRICALS AND ERECTORS,22-Sep-2025 12:29 PM,Rejected-Technical,Not Fulfilled all eligibility criteria,14-Oct-2025 06:12 PM,Technical,Bidder list,Sabyasachi Naik,14-Oct-2025 06:07 PM,technical_552078.pdf,AOC,"82,200",Yes,fixed,,Nil,Nil,Odisha Tourism Devl. Corp.,BP II/03/2025-26 dt. 03.09.2025,2025_OTDC_117894_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Power Supply to Infrastructure Development at Saptasajya in Dhenkanal District.,Power Supply to Infrastructure Development at Saptasajya in Dhenkanal District.,As per DTCN ,NA ,"82,20,000",Electrical Works,NA ,Tender,90.0,90.0,"Saptasajya, Dhenkanal",759013.0,NA ,NA ,NA ,"O/o the Executive Engineer, OTDC Ltd. BBSR",No ,No,1.0,ICICI BANK,"10,000","1,800",Nil,Nil,No,"Executive Engineer, OTDC Ltd. BBSR","O/o the Executive Engineer, OTDC Ltd. BBSR",1.0,Fee/PreQual/Technical,.pdf,DTCN,11-Sep-2025 09:00 AM,23-Sep-2025 11:30 AM,11-Sep-2025 09:00 AM,22-Sep-2025 05:00 PM,11-Sep-2025 09:00 AM ,15-Sep-2025 09:00 AM ,11-Sep-2025 09:00 AM,22-Sep-2025 05:00 PM,15-Oct-2025 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3091231,M/s. Mahaveer Enterprises,20-Sep-2025 07:14 PM,Rejected-Technical,Not Fulfilled all eligibility criteria,14-Oct-2025 06:12 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,.pdf,Other document as per DTCN,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3094928,"M/S ORISSA TRADING HOUSE, PROP. RITU MODI",22-Sep-2025 03:23 PM,Rejected-AOC,Unsuccessful Bidder in Transparent Lottery,29-Nov-2025 01:36 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3091187,M/s. S.K.Mohapatra,22-Sep-2025 04:52 PM,Rejected-AOC,Unsuccessful Bidder,29-Nov-2025 01:36 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3087992,Sarada Systems Pvt. Ltd.,19-Sep-2025 02:12 PM,Accepted-AOC,Successful Bidder in Transparent Lottery,29-Nov-2025 01:36 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3092822,SITARAM INFRA AND ENERGY PVT LTD,21-Sep-2025 07:28 PM,Rejected-AOC,Unsuccessful Bidder in Transparent Lottery,29-Nov-2025 01:36 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
