Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_113371_6,BID NO-1280/2025-26 DT.09.05.2025,REVIVAL AND RE-ENERGISATION OF ANATIRISA-I LIP UNDER BRAHMAGIRI BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,1.0,2927302.0,BIJAYA KUMAR JENA,INR,"1,218,139",Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,21-Nov-2025 04:32 PM,techsummary_539323.pdf (1120.81 KB),21-Nov-2025,"INR 1,218,139",90.0,SUJIT KUMAR MOHANTY,21-Nov-2025 04:36 PM,AnatiriaaI.pdf (1121.00 KB),Work order and agreement completed,Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,23-May-2025 12:23 PM,finance_539323.pdf,BOQ Comparative Chart,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,21-Nov-2025 04:35 PM,finsummary_539323.pdf (1120.81 KB),1,2925675,AGRAWALLA POWER INFRASTRUCTURE,22-May-2025 10:36 AM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,REVIVAL AND RE-ENERGISATION OF ANATIRISA-I LIP UNDER BRAHMAGIRI BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF ANATIRISA-I LIP UNDER BRAHMAGIRI BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,PLEASE REFER TENDER DOCUMENTS ,NA ,"12,82,117",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BRAHMAGIRI,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,EE LI DIVISION BHUBANESWAR,EE LI DIVISION BHUBANESWAR,1.0,Fee/PreQual/Technical/Finance,.pdf,PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,15-May-2025 10:00 AM,23-May-2025 11:00 AM,15-May-2025 10:00 AM,22-May-2025 05:00 PM,15-May-2025 10:00 AM ,21-May-2025 05:00 PM ,15-May-2025 10:00 AM,22-May-2025 05:00 PM,1.0,ICICI BANK,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-1280/2025-26 DT.09.05.2025,2025_OLIC_113371_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"12,821",Yes,percentage,1.0%,Nil,Nil,"7,080",0.0,Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2927302,BIJAYA KUMAR JENA,22-May-2025 03:52 PM,Accepted-AOC,Work order and agreement completed,21-Nov-2025 04:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2928437,HAREKRUSHNA ROUT,22-May-2025 12:37 PM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2928117,JITENDRA SARANGI,22-May-2025 09:01 AM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2923716,LOKANATH DASH,22-May-2025 02:58 PM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2925427,MS Shree Shyam and Co,21-May-2025 06:49 PM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2926498,PRAKASH CHANDRA BARIK,20-May-2025 05:28 PM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2928526,PRATAP JENA,22-May-2025 03:41 PM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2927592,RAJESH KUMAR SAHOO,21-May-2025 04:36 PM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2926465,SHREE KISHAN ENTERPRISES,20-May-2025 06:30 PM,Rejected-Technical,Rejected,21-Nov-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
