Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
01-Jul-2025,"INR 1,641,465",180.0,Kartika Samal,12-Nov-2025 01:44 PM,Wo13.pdf (852.00 KB),"Work has been awarded to Lipu kumar malla(ph).The date of commencement/contract may please be recorded as dt.01.07.2025.The deposit towards EMD and ISD has been received in favour of SE MBD, Cuttack",1.0,2915384.0,LIPU KUMAR MALL,INR,"1,641,465","CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",2025_CELBB_112985_10,e Procurement Notice No.02/2025-26,10) Construction of Guard wall of Patkura Minor at RD 00 m. and Bangalpur Minor at RD 1400 m. and 3200 m. for the year 2025-26. (MBD13/2025-26),1,2913613,Alekha Chandra Bastia,12-May-2025 10:53 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,Finance,20 nos. bidders participated,Kartika Samal,17-May-2025 07:22 PM,,BOQ Comparative Chart,SE MBD,Internal,,CHANDRA SEKHARA SETHY,24-Jun-2025 11:47 AM,finsummary_538082.pdf (485.22 KB),SE MBD,Internal,"DAO,ESTIMATOR",Kartika Samal,18-Jun-2025 11:54 AM,techsummary_538082.pdf (818.63 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Pan card, Affidavit, Bid Security, NRC and GSTIN as per DTCN",01-May-2025 10:00 AM,14-May-2025 11:30 AM,01-May-2025 10:00 AM,13-May-2025 05:00 PM,01-May-2025 10:00 AM ,13-May-2025 04:00 PM ,01-May-2025 10:00 AM,13-May-2025 05:00 PM,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",e Procurement Notice No.02/2025-26,2025_CELBB_112985_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,310",Yes,fixed,,Nil,Nil,"Superintending Engineer, Mahanadi Barrage Division","Superintending Engineer, Mahanadi Barrage Division ,Gandarpur,Cuttack-753003",10) Construction of Guard wall of Patkura Minor at RD 00 m. and Bangalpur Minor at RD 1400 m. and 3200 m. for the year 2025-26. (MBD13/2025-26),Construction of Guard wall of Patkura Minor at RD 00 m. and Bangalpur Minor at RD 1400 m. and 3200 m. for the year 2025-26. (MBD13/2025-26),Please refer Tender documents. ,NA ,"19,30,909",Civil Works - Others,NA ,Tender,90.0,180.0,Cutack,753003.0,NA ,NA ,NA ,"Superintending Engineer, Mahanadi Barrage Division",No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,2916261,ANUJA BEURA,13-May-2025 03:39 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2915662,BICHITRA NANDA DAS,13-May-2025 01:06 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2916349,CHITTA RANJAN RATH,13-May-2025 03:41 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2910784,IPSITA NAYAK,09-May-2025 09:40 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2914243,JAYASHREE BEHERA,12-May-2025 07:48 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2913524,JITARANI KHATUA,12-May-2025 03:32 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2906609,KAILASH CHANDRA SAHOO,05-May-2025 05:41 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2915384,LIPU KUMAR MALL,13-May-2025 01:16 PM,Accepted-AOC,Lottery winner,12-Nov-2025 01:44 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2915319,PRAKASH CHANDRA BHUYAN,13-May-2025 11:42 AM,Rejected-Finance,being unsuccessful tenderer on lottery system,24-Jun-2025 11:47 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
