Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-05/2025-26,2025_EICCL_117579_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Sep-2025 05:00 PM,10-Sep-2025 11:30 AM,03-Sep-2025 05:00 PM,09-Sep-2025 04:00 PM,03-Sep-2025 05:00 PM ,09-Sep-2025 04:00 PM ,03-Sep-2025 05:00 PM,09-Sep-2025 04:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.",SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"S/R such as pothole repair, jungle clearance and painting from 0/0 to 12/800km on PWD road to Ramaguda via Rampur Nakamundia Nuagaon Balakumari Temple Pitha road for the year 2025-26.","S/R such as pothole repair, jungle clearance and painting from 0/0 to 12/800km on PWD road to Ramaguda via Rampur Nakamundia Nuagaon Balakumari Temple Pitha road for the year 2025-26.",Please refer Tender documents. ,NA ,"13,92,430",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,"14,000",Yes,fixed,,Nil,Nil,1.0,period of completion,Other,,AOC,1,3067453,AKASH BEHERA,08-Sep-2025 10:38 AM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,14-Nov-2025,"INR 1,183,705",30.0,Somanath Tripathy,14-Nov-2025 04:10 PM,427.pdf (216.00 KB),Contract awarded to Sri/Smt Harikrushna Gouda,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,14-Nov-2025 03:55 PM,techsummary_551078.pdf (215.86 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117579_9,SE RandB Divn No.I-BAM-05/2025-26,"S/R such as pothole repair, jungle clearance and painting from 0/0 to 12/800km on PWD road to Ramaguda via Rampur Nakamundia Nuagaon Balakumari Temple Pitha road for the year 2025-26.","Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,14-Nov-2025 04:03 PM,finsummary_551078.pdf (215.86 KB),Finance,"38Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,16-Sep-2025 05:09 PM,finance_551078.pdf,BOQ Comparative Chart,1.0,3066627.0,HARI KRUSHNA GOUDA,INR,"1,183,705",AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3065246,AMULYA NARAYAN NAYAK,07-Sep-2025 09:48 AM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3072070,ASISH KUMAR NAYAK,09-Sep-2025 03:11 PM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3070725,BAIJAYANTI SWAIN,09-Sep-2025 08:16 AM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3069730,Bailochan Choudhury,08-Sep-2025 09:05 PM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3069920,BAPI SAHU,09-Sep-2025 12:46 PM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3071719,BHARATI SAHU,09-Sep-2025 01:44 PM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3065800,BIJAYANANDA BEHERA,06-Sep-2025 02:25 PM,Rejected-Technical,due to not furnished proper document,14-Nov-2025 03:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3067975,BIKASH RANJAN MOHANTY,09-Sep-2025 12:57 AM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3071070,GAGAN KUMAR SAHU,09-Sep-2025 02:07 PM,Rejected-AOC,Reject in Lottery,14-Nov-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
