S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,2967849.0,RAJESH KUMAR NATH,INR,"30,854,107",CCE RW CIRCLE BALASORE,Internal,PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO R.W. DIVISION-BHADRAK,Durjyodhan Behera,20-Sep-2025 06:27 PM,finsummary_542563.pdf (48.13 KB),CE RW I||RWCIRCLE-BALASORE,2025_CERWI_114308_5,CCE-BLS-NCB-07 OF 2025-26,Construction of Flood resilient road from RD Road to Baburigaon Road under SDMF in the District of Bhadrak for the year 2025-26.,Technical,4 Numbers bidder admitted,Durjyodhan Behera,18-Jun-2025 03:49 PM,technical_542563.pdf,Finance,3 Numbers bidder admitted,Durjyodhan Behera,04-Aug-2025 04:06 PM,,BOQ Comparative Chart,CCE RW CIRCLE BALASORE,Internal,"AE Estimator , R.W. Circle,Balasore, PA to CCE, R.W. Circle,Balasore,DAO,EERWD-II,BDK",Durjyodhan Behera,30-Jul-2025 08:14 PM,04-Aug-2025 11:00 AM,techsummary_542563.pdf (1982.42 KB),1,2970967,ASIT KUMAR ROUT,17-Jun-2025 04:09 PM,Rejected-Technical,"1. Similar nature of work experience not furnished, 2. ATO not furnished",30-Jul-2025 08:14 PM,11-Nov-2025,"INR 30,854,107",270.0,Durjyodhan Behera,11-Nov-2025 11:12 AM,Baburigaon.pdf (740.00 KB),Work awarded to 1st lowest bidder,AOC,Construction of Flood resilient road from RD Road to Baburigaon Road under SDMF in the District of Bhadrak for the year 2025-26.,Construction of Flood resilient road from RD Road to Baburigaon Road under SDMF in the District of Bhadrak for the year 2025-26.,Please refer DTCN ,NA ,"3,42,79,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The CCE R.W.CIRCLE,BALASORE",No ,No,"3,42,790",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-07 OF 2025-26,2025_CERWI_114308_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,09-Jun-2025 09:00 AM,18-Jun-2025 11:00 AM,09-Jun-2025 09:00 AM,17-Jun-2025 05:00 PM,09-Jun-2025 09:00 AM ,16-Jun-2025 05:00 PM ,09-Jun-2025 09:00 AM,17-Jun-2025 05:00 PM,04-Aug-2025 11:00 AM,"CCE R.W.CIRCLE,BALASORE","O/o The CCE R.W.CIRCLE,BALASORE",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2970888,Nalinikanta Patri,17-Jun-2025 04:52 PM,Rejected-Finance,L1,20-Sep-2025 06:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT ,MACHINERIES,ETC",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2968708,Nityananda Das,17-Jun-2025 11:53 AM,Rejected-AOC,L1,11-Nov-2025 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2967849,RAJESH KUMAR NATH,17-Jun-2025 03:42 PM,Accepted-AOC,L1,11-Nov-2025 11:12 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
