S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3084893.0,MAKUL KUMAR MANDAL,INR,"2,738,659.029",PHEO||PH Circle Bhawanipatna||PH Division Bhawanipatna,2025_PHEO_117790_1,SEPH BHPT 22 of 2025-26,Supply Installation Testing Commissioning of Flowmeters in Zonal Reservoirs with other ancillary work in Nuapada NAc,ACE PHD BHAWANIPATNA,Internal,,Subrat Kumar Das,21-Nov-2025 11:29 AM,techsummary_551856.pdf (2748.24 KB),21-Nov-2025,"INR 2,738,659.029",60.0,Subrat Kumar Das,21-Nov-2025 11:39 AM,workorder.pdf (744.00 KB),Work order issued on dated 17.11.2025,Finance,The tender has been opened,Subrat Kumar Das,19-Sep-2025 12:28 PM,finance_551856.pdf,BOQ Comparative Chart,ACE PHD BHAWANIPATNA,Internal,,Subrat Kumar Das,21-Nov-2025 11:35 AM,finsummary_551856.pdf (2748.24 KB),1,3083118,ACHINTYA KUMAR NAYAK PROPRIETOR OF WEMAX TECHNOLOGY,16-Sep-2025 11:29 AM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,PHEO||PH Circle Bhawanipatna||PH Division Bhawanipatna,SEPH BHPT 22 of 2025-26,2025_PHEO_117790_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,08-Sep-2025 02:00 PM,18-Sep-2025 11:30 AM,08-Sep-2025 02:00 PM,17-Sep-2025 05:00 PM,08-Sep-2025 02:00 PM ,12-Sep-2025 05:00 PM ,08-Sep-2025 02:00 PM,17-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Relevant documents as per DTCN,1.0,ICICI BANK,"32,216",Yes,percentage,1.0%,Nil,Nil,Supply Installation Testing Commissioning of Flowmeters in Zonal Reservoirs with other ancillary work in Nuapada NAc,Supply Installation Testing Commissioning of Flowmeters in Zonal Reservoirs with other ancillary work in Nuapada NAc,Relevant documents as per DTCN ,NA ,"32,21,573",Civil Works - Water Works,NA ,Tender,120.0,60.0,NUAPADA,766108.0,NA ,NA ,NA ,BHAWANIPATNA,No ,No,ADDITIONAL CHIEF ENGINEER PH DIVISION BHAWANIPATNA,BHAWANIPATNA,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3084232,ANKITA SAHU,16-Sep-2025 07:37 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3085157,ANUBHABA PRADHANI,17-Sep-2025 03:27 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3085118,ASHI ENGINEERING PROP. SASANKA SEKHAR SENAPATI,17-Sep-2025 03:01 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3083578,Automatech Electric Co,17-Sep-2025 01:45 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3085168,CHANDRA SEKHAR SAHUKAR,17-Sep-2025 03:32 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3084219,CIMCON SOFTWARE INDIA PRIVATE LIMITED,16-Sep-2025 11:49 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3084732,Drite Automation and Engineering,17-Sep-2025 03:26 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3083984,JUBARAJ KUMBHAR,16-Sep-2025 05:29 PM,Rejected-AOC,L2,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3084893,MAKUL KUMAR MANDAL,17-Sep-2025 12:44 PM,Accepted-AOC,L1,21-Nov-2025 11:40 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
