Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"4,000",0.0,Nil,Nil,No,Municipal Bodies||Sambalpur Municipal Corporation,6/SMC_SBP/2025-26,2025_ORULB_112943_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,05-May-2025 10:00 AM,15-May-2025 10:00 AM,05-May-2025 10:00 AM,14-May-2025 05:00 PM,NA ,NA ,05-May-2025 10:00 AM,14-May-2025 05:00 PM,"9,310",Yes,percentage,1.0%,Nil,Nil,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","Construction of paver block road from Sonala house to Ypusuf Almira Factory back side of Gosia Maszid , Sunapali Ward No-33","Construction of paver block road from Sonala house to Ypusuf Almira Factory back side of Gosia Maszid , Sunapali Ward No-33",Please refer Tender documents. ,NA ,"9,31,015",Civil Works - Others,NA ,Tender,120.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,AOC,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,03-Nov-2025 12:18 PM,techsummary_538271.pdf (755.31 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,03-Nov-2025 12:20 PM,finsummary_538271.pdf (755.31 KB),Finance,tender opened,Vedbhushan .,19-May-2025 08:07 AM,finance_538271.pdf,BOQ Comparative Chart,03-Nov-2025,"INR 931,015",60.0,Rehan Khatri,03-Nov-2025 12:23 PM,6SMC26.pdf (755.00 KB),SUCCESSFUL,1,2917298,ABDUL AZIZ ANSARY,14-May-2025 02:56 PM,Rejected-Technical,UNSUCCESSFUL,03-Nov-2025 12:18 PM,1.0,2915466.0,BIBHUTI BHUSAN NAYAK,INR,"931,015",Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_112943_26,6/SMC_SBP/2025-26,"Construction of paver block road from Sonala house to Ypusuf Almira Factory back side of Gosia Maszid , Sunapali Ward No-33",AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2915466,BIBHUTI BHUSAN NAYAK,13-May-2025 12:26 PM,Accepted-AOC,SUCCESSFUL,03-Nov-2025 12:23 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,2917253,TABSUM NISSA,14-May-2025 02:51 PM,Rejected-Technical,UNSUCCESSFUL,03-Nov-2025 12:18 PM,,,,,,,,,,AOC
