Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
National Law University Odisha,NLUO/ICT/012/WIFI/2025 DT. 06.09.2025,2025_NLUO_117736_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,ELIGIBILITY DOCUMENTS,REGISTRAR NLUO,"NLUO,SEC-13,CDA,CUTTACK","1,16,000",No,fixed,,Nil,Nil,06-Sep-2025 05:00 PM,22-Sep-2025 03:00 PM,06-Sep-2025 05:00 PM,22-Sep-2025 01:00 PM,06-Sep-2025 05:00 PM ,15-Sep-2025 11:00 AM ,06-Sep-2025 05:00 PM,22-Sep-2025 01:00 PM,15-Oct-2025 03:35 PM,System Integration of Wired and Wireless Network,System Integration of Wired and Wireless Network,Please refer Tender documents. ,NA ,"58,00,000",Miscellaneous Services,NA ,Tender,90.0,NA ,"NLUO,CUTTACK",753015.0,"ADMIN BUILDING,NLUO ","ADMINSTRATIVE BLOCK,NLUO,SEC-13,CDA,CUTTACK ",15-Sep-2025 11:00 AM ,NLUO,No ,No,AOC,Dr. Sushanta Kumar Rout,Internal,"Dr. A B Debasis Rout, Mr. Kallola Kumar Patanaik, Mr. Prashant Kuleshwar, Mr. Sabyasachie Panda",Kallola Patanaik,15-Oct-2025 03:24 PM,15-Oct-2025 03:35 PM,techsummary_551722.pdf (245.87 KB),National Law University Odisha,2025_NLUO_117736_1,NLUO/ICT/012/WIFI/2025 DT. 06.09.2025,System Integration of Wired and Wireless Network,1.0,3086608.0,TIME INFOSYSTEMS PVT LTD,INR,"4,837,034",Technical,BID OPENING SUMMARY,Prashant Kuleshwar,23-Sep-2025 03:42 PM,technical_551722.pdf,1,3093315,ADN TECHNOKRATS PVT LTD,22-Sep-2025 11:08 AM,Rejected-AOC,L2 bid,26-Nov-2025 03:21 PM,Finance,Financial bids opened by the tender committee,Prashant Kuleshwar,26-Nov-2025 03:05 PM,finance_551722.pdf,BOQ Comparative Chart,26-Nov-2025,"INR 4,837,034",30.0,Prashant Kuleshwar,26-Nov-2025 03:21 PM,POWiFiGH3.pdf (2378.00 KB),DR SUSHANTA KUMAR ROUT,Internal,"Dr. A B Debasis Rout, Mr. Kallola Kumar Patanaik, Mr. Prashant Kuleshwar, Mr. Sabyasachie Panda",Prashant Kuleshwar,26-Nov-2025 03:11 PM,finsummary_551722.pdf (346.00 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,OTHER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3094138,INTERIOARCH SOLUTIONS,22-Sep-2025 12:50 PM,Rejected-AOC,L3 bid,26-Nov-2025 03:21 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3086608,TIME INFOSYSTEMS PVT LTD,21-Sep-2025 06:30 PM,Accepted-AOC,L1 bid,26-Nov-2025 03:21 PM,,,,,,,,,,,,,,,,,,,AOC
