S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,3055733.0,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,INR,"2,989,155",Technical,ALL DOCUMENTS DOWNLOADED SUCCESSFULLY.,JITENDRA KUMAR ORAM,01-Sep-2025 12:44 PM,,Chief Engineer Mech - WR Bhubaneswar,2025_CEMWR_116880_1,CEM/MDC-15/2025-26,Fabrication supply Transportation Erection of sluice gate at out Falling point of Sindhal Rakei sluice Under Drainage Division Jagatsinghpur for the year 2025 26,CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,17-Nov-2025 11:51 AM,finsummary_549272.pdf (4336.36 KB),CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,22-Sep-2025 05:54 PM,23-Sep-2025 12:00 PM,techsummary_549272.pdf (4336.36 KB),Finance,Documents downloaded successfully.,JITENDRA KUMAR ORAM,23-Sep-2025 01:02 PM,,BOQ Comparative Chart,17-Nov-2025,"INR 2,989,155",90.0,JITENDRA KUMAR ORAM,17-Nov-2025 01:32 PM,CEMMDC15.pdf (784.00 KB),1,3049628,DASH ENTERPRISERS PROP.RAJEEB LOCHAN DASH,26-Aug-2025 03:49 PM,Rejected-Technical,Technically rejected,22-Sep-2025 05:54 PM,AOC,"35,162",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Document Tender Call Notice,1.0,ICICI BANK,Chief Engineer Mech - WR Bhubaneswar,CEM/MDC-15/2025-26,2025_CEMWR_116880_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Fabrication supply Transportation Erection of sluice gate at out Falling point of Sindhal Rakei sluice Under Drainage Division Jagatsinghpur for the year 2025 26,Fabrication supply Transportation Erection of sluice gate at out Falling point of Sindhal Rakei sluice Under Drainage Division Jagatsinghpur for the year 2025 26,As per DTCN ,NA ,"35,16,239",Mechanical Works,NA ,Tender,90.0,90.0,Jagatsignhpur,754103.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,16-Aug-2025 10:00 AM,01-Sep-2025 12:00 PM,16-Aug-2025 10:00 AM,30-Aug-2025 05:30 PM,16-Aug-2025 10:00 AM ,25-Aug-2025 05:30 PM ,16-Aug-2025 10:00 AM,30-Aug-2025 05:30 PM,23-Sep-2025 12:00 PM,Chief Engineer Mechanical,Office of the Engineer in Chief WR Odisha Bhubaneswar,1.0,Addendum,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3047370,LAXMIDHRA BHUYAN,29-Aug-2025 10:57 PM,Rejected-AOC,Not Winner of lottery,17-Nov-2025 01:32 PM,AOC,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3041134,M/S Abirvab Steel Product,30-Aug-2025 11:31 AM,Rejected-AOC,Not Winner of lottery,17-Nov-2025 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3056046,M/S ADITYA INDUSTRIAL ENTERPRISERS(PROP.SUKANTA SAHOO),30-Aug-2025 12:54 PM,Rejected-Technical,Technically rejected,22-Sep-2025 05:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3040653,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,29-Aug-2025 11:56 AM,Rejected-AOC,Not Winner of lottery,17-Nov-2025 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3041094,M/S Ashreebad Fabricators,30-Aug-2025 03:33 PM,Rejected-AOC,Not Winner of lottery,17-Nov-2025 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3040607,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,29-Aug-2025 11:13 AM,Rejected-Technical,Technically rejected,22-Sep-2025 05:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3055733,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,30-Aug-2025 09:31 AM,Accepted-AOC,Winner of lottery,17-Nov-2025 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3055728,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",30-Aug-2025 09:20 AM,Rejected-AOC,Not Winner of lottery,17-Nov-2025 01:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3040664,SUSHIL KUMAR DAS,29-Aug-2025 03:19 PM,Rejected-Technical,Technically rejected,22-Sep-2025 05:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
