Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Periodical mainte of SI qtr at Gorumahisani building for the year 2025-26,Periodical mainte of SI qtr at Gorumahisani building for the year 2025-26,NA ,NA ,"3,35,890",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,PAN GSTIN Affidavit as per DTCN,22-Aug-2025 11:00 AM,03-Sep-2025 11:30 AM,22-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,22-Aug-2025 11:00 AM ,01-Sep-2025 05:00 PM ,22-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,1.0,ICICI BANK,"3,360",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 06,2025_CERWI_117200_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR",AOC,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_117200_1,RD 06,Periodical mainte of SI qtr at Gorumahisani building for the year 2025-26,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,03-Nov-2025 11:13 AM,finsummary_550189.pdf (318.47 KB),Finance,Open,Sanjeet Kumar Naik,03-Nov-2025 11:04 AM,finance_550189.pdf,BOQ Comparative Chart,1.0,3056585.0,SAHNAZ PARWEEN,INR,"285,540",03-Nov-2025,"INR 285,540",30.0,Sanjeet Kumar Naik,03-Nov-2025 11:19 AM,5562.pdf (318.00 KB),1,3061271,AJIT KUMAR JENA,02-Sep-2025 02:49 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,03-Nov-2025 11:08 AM,techsummary_550189.pdf (318.47 KB),AOC
,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3050610,ASHISH KUMAR NANDA,26-Aug-2025 08:17 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3057684,AVISEK SHAW,31-Aug-2025 02:26 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3060771,BIMAL KUMAR MAHANTA,02-Sep-2025 11:44 AM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3053512,DAKHIN BASKEY,28-Aug-2025 10:46 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3055923,Deepti Mayee Das,30-Aug-2025 12:02 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3055291,DEV KUMAR MANDAL,29-Aug-2025 05:57 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3056910,DIPTENDU KUMAR MISHRA,01-Sep-2025 09:06 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3060957,HARAPRASAD SARDAR,02-Sep-2025 12:53 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3051094,JOGAMAYA NANDA GIRI,27-Aug-2025 12:36 PM,Rejected-AOC,Lottery,03-Nov-2025 11:19 AM,,,,,,,AOC
