Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,13-Aug-2025 09:13 PM,14-Aug-2025 03:00 PM,techsummary_544193.pdf (1772.36 KB),1.0,Corrigendum,Corrigendum,13-Aug-2025 06:13 PM,OCCL_SCP-04.pdf ,1751.96,Technical Opening,ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_114788_1,Bid identification No.OCCL-SCP/04/2025-26,E-procurement Notice No.11/OCCL/2025-26(on-line),1.0,2999322.0,SUNDAR PRAVAT DAS,INR,"38,902,881",1,2997655,AMRIT PRADHAN,12-Jul-2025 11:00 PM,Rejected-Technical,Non - Responsive.,13-Aug-2025 09:13 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,13-Aug-2025 06:50 PM,,Finance,Opened Successfully.,Pratap Chandra Chaudhury,14-Aug-2025 03:17 PM,,BOQ Comparative Chart,01-Nov-2025,"INR 45,762,712",180.0,Pratap Chandra Chaudhury,01-Nov-2025 06:25 PM,SCP_04.pdf (583.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,01-Nov-2025 06:19 PM,finsummary_544193.pdf (583.12 KB),AOC,1.0,ICICI BANK,ODISHA CONSTRUCTION CORPORATION LTD,Bid identification No.OCCL-SCP/04/2025-26,2025_OCCL_114788_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd.,UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate,Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",E-procurement Notice No.11/OCCL/2025-26(on-line),Improvement to service road of right main distributary from RD 6000m to 12735m under Bankbal Irrigation Project.,AS PER DTCN. ,NA ,"4,57,62,712",Civil Works - Others,NA ,Tender,90.0,180.0,Rairangpur in Mayurbhanj district.,757043.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,"11,800",Nil,Nil,No,24-Jun-2025 03:30 PM,15-Jul-2025 12:00 PM,24-Jun-2025 03:30 PM,14-Jul-2025 05:30 PM,24-Jun-2025 03:30 PM ,30-Jun-2025 03:30 PM ,24-Jun-2025 03:30 PM,14-Jul-2025 05:30 PM,14-Aug-2025 03:00 PM,"4,57,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,2999039,ANUP BUILDERS,14-Jul-2025 04:10 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3,2995811,BIJAYA NANDA MANDAL,12-Jul-2025 03:11 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4,2999293,DASARATHI TRIPATHY,14-Jul-2025 04:47 PM,Rejected-Technical,Non - Responsive.,13-Aug-2025 09:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,5,2999133,JEETESH RANJAN BEHERA,14-Jul-2025 03:13 PM,Rejected-Technical,Non - Responsive.,13-Aug-2025 09:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,6,2991580,JITENDRA KUMAR PARIDA,12-Jul-2025 01:15 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,7,2993868,LAXMINARAYAN MALLICK,09-Jul-2025 12:32 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,8,2998386,m/s Anand Kumar Agrawal,14-Jul-2025 08:48 AM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,9,2998760,MS GLOBAL CONSTRUCTION,14-Jul-2025 12:04 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,10,2997357,M/S. MAA TARA CONSTRUCTION,12-Jul-2025 07:55 PM,Rejected-Finance,OTHER THAN L1.,01-Nov-2025 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
