Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",Construction of Flood resilient road from NH-5 to Talapada via Nentipur and Kurikana Road under SDMF in the District of Bhadrak for the year 2025-26.,Construction of Flood resilient road from NH-5 to Talapada via Nentipur and Kurikana Road under SDMF in the District of Bhadrak for the year 2025-26.,Please refer DTCN ,NA ,"2,89,33,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The CCE R.W.CIRCLE, BALASORE",No ,No,"10,000",0.0,Nil,Nil,No,08-Jul-2025 09:00 AM,18-Jul-2025 11:00 AM,08-Jul-2025 09:00 AM,17-Jul-2025 05:00 PM,08-Jul-2025 09:00 AM ,16-Jul-2025 05:00 PM ,08-Jul-2025 09:00 AM,17-Jul-2025 05:00 PM,26-Aug-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-14 OF 2025-26,2025_CERWI_115160_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,89,330",Yes,percentage,1.0%,Nil,Nil,"CCE R.W.CIRCLE, BALASORE","O/o The CCE R.W.CIRCLE, BALASORE",AOC,07-Nov-2025,"INR 24,595,316",270.0,Durjyodhan Behera,07-Nov-2025 01:37 PM,Talapada.pdf (750.00 KB),Work awarded through Lottery system,1,3002350,AMRITA DAS,17-Jul-2025 02:40 PM,Rejected-AOC,L1,07-Nov-2025 01:38 PM,"CCE R.W.CIRCLE, BALASORE",Internal,"AE Estimator , R.W. Circle,Balasore, PA to CCE, R .W.Circle,Balasore, DAO, RWD-II, Bhadrak, E.E ,R.W Division, Bhadrak",Durjyodhan Behera,22-Aug-2025 11:28 AM,26-Aug-2025 05:00 PM,techsummary_545325.pdf (1151.72 KB),Finance,14 Numbers bidder admitted,Subhadra Behera,30-Aug-2025 05:23 PM,,BOQ Comparative Chart,Technical,17 Numbers Bidder Admitted,Saibalini Singh,18-Jul-2025 02:30 PM,technical_545325.pdf,CE RW I||RWCIRCLE-BALASORE,2025_CERWI_115160_5,CCE-BLS-NCB-14 OF 2025-26,Construction of Flood resilient road from NH-5 to Talapada via Nentipur and Kurikana Road under SDMF in the District of Bhadrak for the year 2025-26.,CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR AND DAO R.W. DIVISION, BHADRAK",Durjyodhan Behera,07-Nov-2025 01:30 PM,finsummary_545325.pdf (47.96 KB),1.0,3000721.0,BASUDEV PANIGRAHI,INR,"24,595,316",AOC
,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT , MACHINERIES,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,2,3000721,BASUDEV PANIGRAHI,16-Jul-2025 02:00 PM,Accepted-AOC,L1,07-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3001926,BHAGIRATHI SAHOO,17-Jul-2025 11:42 AM,Rejected-AOC,L1,07-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3002497,BICHITRA KUMAR JENA,17-Jul-2025 04:55 PM,Rejected-AOC,L1,07-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3000609,Debendra Nayak,16-Jul-2025 10:46 AM,Rejected-Technical,Insufficient similar nature of work experience,22-Aug-2025 11:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2999383,Jaladhar Sahoo,14-Jul-2025 06:30 PM,Rejected-AOC,L1,07-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3002353,KISHORE KUMAR PANDA,17-Jul-2025 02:55 PM,Rejected-AOC,L1,07-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3000669,MAHENDRA KUMAR JENA,16-Jul-2025 05:18 PM,Rejected-AOC,L2,07-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2997735,MANAS RANJAN MOHANTY,14-Jul-2025 06:44 PM,Rejected-Technical,Non submission of declaration of Hot Mix Plant,22-Aug-2025 11:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2999957,M/S MAA SANTOSHI CONSTRUCTION,17-Jul-2025 11:08 AM,Rejected-AOC,L1,07-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
