Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD, CONTRACTOR REGISTRATION CERTIFICATE, PAN, GSTIN, AFFIDAVIT, ETC",Divisional Officer,"RURAL WORKS DIVISION NO.II, BHADRAK",1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,"TCN-06 RWD-II,BHADRAK",2025_CERWI_116493_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair to RI office Building at kulana for the year 2025-26 in the District of Bhadrak.,Repair to RI office Building at kulana for the year 2025-26 in the District of Bhadrak.,NA ,NA ,"4,20,144",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BHADRAK",No ,No,"4,200",Yes,fixed,,Nil,Nil,05-Aug-2025 06:00 PM,14-Aug-2025 11:00 AM,05-Aug-2025 06:00 PM,13-Aug-2025 05:00 PM,05-Aug-2025 06:00 PM ,13-Aug-2025 03:00 PM ,05-Aug-2025 06:00 PM,13-Aug-2025 05:00 PM,AOC,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_116493_1,"TCN-06 RWD-II,BHADRAK",Repair to RI office Building at kulana for the year 2025-26 in the District of Bhadrak.,Executive Engineer,Internal,,Lambodar Naik,03-Nov-2025 12:44 PM,finsummary_548340.pdf (422.94 KB),Finance,total 29 bidders,Saraseebala Behera,20-Aug-2025 04:24 PM,,BOQ Comparative Chart,1.0,3034173.0,MAHABIR CONSTRUCTION,INR,"357,164",1,3027394,Amaresh Kumar Biswal,07-Aug-2025 04:40 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,03-Nov-2025,"INR 357,164",30.0,Lambodar Naik,03-Nov-2025 12:50 PM,wo.pdf (611.00 KB),Executive Engineer,Internal,,Lambodar Naik,03-Nov-2025 12:38 PM,techsummary_548340.pdf (289.55 KB),AOC
,,,,,,,.xls,Boq,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3033619,ARJUN CHANDRA SAHU,12-Aug-2025 09:09 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3034134,BHARAT KUMAR DAS,13-Aug-2025 07:07 AM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3033077,Bidyadhar Sahoo,12-Aug-2025 01:24 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3034531,GOBINDA CHANDRA JENA,13-Aug-2025 02:29 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3029231,KAILASH CHANDRA SAHOO,08-Aug-2025 11:23 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3034113,KRUPASINDHU MAJHI,13-Aug-2025 04:14 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3034351,LILIMA SAHOO,13-Aug-2025 01:28 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3034068,MADHU SUDAN SAHOO,13-Aug-2025 12:56 PM,Rejected-AOC,rejected,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3034173,MAHABIR CONSTRUCTION,13-Aug-2025 12:23 PM,Accepted-AOC,selected through transparent lottery system,03-Nov-2025 12:51 PM,,,,,,,,,,,,,AOC
