S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2879200.0,ASHOK CHANDRA PATRA,INR,"2,361,448",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_112120_1,BID NO 24 OF 2024 -25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Jemapali, Gandpali_Bharsuja GP, Mahulpali under Agalpur Block in District of Balangir",ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,14-Nov-2025 05:22 PM,techsummary_535122.pdf (1068.75 KB),Finance,BID HAS BEEN OPENED,Khagendra Barik,11-Apr-2025 07:11 PM,finance_535122.pdf,BOQ Comparative Chart,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,14-Nov-2025 05:35 PM,finsummary_535122.pdf (1068.75 KB),14-Nov-2025,"INR 2,777,847",45.0,Khagendra Barik,14-Nov-2025 05:39 PM,jemapali2.pdf (1069.00 KB),L1 BIDDER HAS RESPOND,1,2878506,Arihant Electricals and Engineers,09-Apr-2025 09:18 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,14-Nov-2025 05:35 PM,AOC,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 24 OF 2024 -25,2025_RWSS_112120_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"27,778",Yes,percentage,1.0%,Nil,Nil,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Jemapali, Gandpali_Bharsuja GP, Mahulpali under Agalpur Block in District of Balangir","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Jemapali, Gandpali_Bharsuja GP, Mahulpali under Agalpur Block in District of Balangir",Please refer DTCN ,NA ,"27,77,847",Electrical Works,Electrical Works ,Tender,90.0,45.0,"Jemapali, Gandpali, Mahulpali under Agalplur Block",767022.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST,PAN, Contractor Registration Certificate, Experience Certificate etc",Superintending Engineer,Superintending Engineer RWSS Division Balangir,02-Apr-2025 03:00 PM,11-Apr-2025 11:00 AM,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2879200,ASHOK CHANDRA PATRA,08-Apr-2025 06:14 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,14-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2880676,MAA BHUBANESWARI ELECTRICALS,10-Apr-2025 03:51 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,14-Nov-2025 05:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2880786,MAA SAMLESWARI ENGINEERING,10-Apr-2025 03:31 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,14-Nov-2025 05:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2877144,"M/s Ramchandi Construction, Nayagargh",06-Apr-2025 09:10 AM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,14-Nov-2025 05:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2877381,M/S SAMBEET SUPPLIERS,06-Apr-2025 05:52 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,14-Nov-2025 05:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2880057,PABITRA ELECTRICAL WORKSHOP,10-Apr-2025 02:53 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,14-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2880816,PNP CONSTRUCTION,10-Apr-2025 02:31 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,14-Nov-2025 05:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2879947,SIMANCHAL KUMAR PANDA,09-Apr-2025 05:32 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,14-Nov-2025 05:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
