Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,RC PAN GSTIN Affidavits and other documents as per DTCN,21-Jun-2025 03:00 PM,30-Jun-2025 05:30 PM,21-Jun-2025 03:00 PM,30-Jun-2025 05:00 PM,21-Jun-2025 03:00 PM ,30-Jun-2025 03:00 PM ,21-Jun-2025 03:00 PM,30-Jun-2025 05:00 PM,23-Jul-2025 09:00 AM,"38,143",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,01(Online)/RWD/BPD/2025-26,2025_CERWI_114662_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of D type Quarters at office building of Tahasildar Betnoti Res building,Construction of D type Quarters at office building of Tahasildar Betnoti Res building,NA ,NA ,"38,14,265",Civil Works - Buildings,NA ,Tender,90.0,180.0,Mayurbhanj,757002.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MAYURBHANJ",No ,No,1.0,Modification of Tender Fee,Fee,,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, MAYURBHANJ",AOC,R.Pradhan,Internal,,Dibyamayee Behera,12-Aug-2025 12:41 PM,finsummary_543768.pdf (2204.50 KB),Technical,23nos bidders participated.,Dibyamayee Behera,22-Jul-2025 05:44 PM,technical_543768.pdf,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_114662_1,01(Online)/RWD/BPD/2025-26,Construction of D type Quarters at office building of Tahasildar Betnoti Res building,1.0,2981348.0,KAMALA KANTA JENA,INR,"3,242,507.003",1,2984053,ABHIJIT MOHAPATRA,30-Jun-2025 03:47 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,13-Oct-2025,"INR 3,242,507.003",180.0,Rajesh Pradhan,11-Nov-2025 05:37 PM,59.pdf (581.00 KB),Finance,.,Dibyamayee Behera,05-Aug-2025 06:59 PM,finance_543768.pdf,BOQ Comparative Chart,R.Pradhan,Internal,,Dibyamayee Behera,23-Jul-2025 08:27 AM,23-Jul-2025 09:00 AM,techsummary_543768.pdf (2512.37 KB),AOC
2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Cancellation of tender,Other,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2983669,ARPIT ROUT,30-Jun-2025 12:51 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2983862,BANU MOHANTY,30-Jun-2025 02:06 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2981237,BHABANI SHANKAR SETHI,27-Jun-2025 03:40 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2981215,CHANDAN KUMAR BEHERA,27-Jun-2025 01:41 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2982975,gouri sankar parida,29-Jun-2025 07:16 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2982035,HARISH CHANDRA MOHANTY,28-Jun-2025 12:37 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2981031,JANMEJAY PUTY,27-Jun-2025 10:00 AM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2981348,KAMALA KANTA JENA,27-Jun-2025 02:09 PM,Accepted-AOC,Lottery winner.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2982927,MAHAPRASAD PANDA,29-Jun-2025 07:43 PM,Rejected-AOC,unsuccessful tenderer.,11-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,AOC
