Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,.,Dibyamayee Behera,19-Sep-2025 07:00 PM,finance_549930.pdf,BOQ Comparative Chart,1.0,3048747.0,PRASAD PALEI,INR,"2,502,110",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_117067_1,04(Online)/RWD/BPD/2025-26,CONSTRUCTION OF D TYPE QUARTER 1 NO. AT PAKTIA PHC BUILDING UNDER SARASKANA BLOCK FOR THE YEAR 2024-25,R.Pradhan,Internal,,Rajesh Pradhan,01-Oct-2025 01:46 PM,finsummary_549930.pdf (983.51 KB),R.Pradhan,Internal,,Dibyamayee Behera,20-Sep-2025 11:58 AM,techsummary_549930.pdf (985.01 KB),06-Nov-2025,"INR 2,502,110",180.0,Rajesh Pradhan,24-Nov-2025 05:39 PM,80.pdf (1180.00 KB),1,3050322,ABHISEK PAL,26-Aug-2025 04:46 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,20-Aug-2025 11:00 AM,26-Aug-2025 05:30 PM,20-Aug-2025 11:00 AM,26-Aug-2025 05:00 PM,20-Aug-2025 11:00 AM ,26-Aug-2025 03:00 PM ,20-Aug-2025 11:00 AM,26-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit other documents as per DTCN,1.0,ICICI BANK,CONSTRUCTION OF D TYPE QUARTER 1 NO. AT PAKTIA PHC BUILDING UNDER SARASKANA BLOCK FOR THE YEAR 2024-25,CONSTRUCTION OF D TYPE QUARTER 1 NO. AT PAKTIA PHC BUILDING UNDER SARASKANA BLOCK FOR THE YEAR 2024-25,NA ,NA ,"29,43,313",Civil Works - Buildings,NA ,Tender,90.0,180.0,Mayurbhanj,757002.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MAYURBHANJ",No ,No,"29,433",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,04(Online)/RWD/BPD/2025-26,2025_CERWI_117067_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION, MAYURBHANJ",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3046919,ANTARJYAMI SAHU,24-Aug-2025 08:40 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3049580,ASISHRANJAN SETHI,26-Aug-2025 12:05 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3043637,GOURI SANKAR MOHAPATRA,26-Aug-2025 01:16 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3044651,HRUSHIKESH PATRA,22-Aug-2025 03:21 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3044029,MANOJ KUMAR SAHU,25-Aug-2025 07:38 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3046726,NARAYANA SAHU,24-Aug-2025 06:47 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3046852,NILACHAKRA SAHU,24-Aug-2025 08:08 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3048591,PANKAJ KUMAR SENAPATI,25-Aug-2025 05:04 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3048747,PRASAD PALEI,25-Aug-2025 06:17 PM,Accepted-AOC,Lottery winner.,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3044561,PRIYADARSINI SAHU,22-Aug-2025 02:18 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3045369,SATYAJEET PARIDA,26-Aug-2025 12:41 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3049701,SRI SHUBHAM MADHUAL,26-Aug-2025 12:49 PM,Rejected-AOC,unsuccessful tenderer,24-Nov-2025 05:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
