Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Bid opened on dated 12.06.2025 and found that all the bidders have quoted 14.99 percent less than the bid amount.Hence all bidders allowed for further evaluation.,SANJAYA KUMAR NAYAK,16-Jun-2025 05:15 PM,finance_541861.pdf,BOQ Comparative Chart,1.0,2948014.0,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,INR,"834,835.84",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,2025_CEMWR_114108_1,SE-MDB -02(D)/2025-26,Mechanical gate work,superintending engineer,Internal,,SANJAYA KUMAR NAYAK,18-Aug-2025 03:55 PM,finsummary_541861.pdf (486.48 KB),superintending engineer,Internal,,SANJAYA KUMAR NAYAK,18-Aug-2025 03:49 PM,techsummary_541861.pdf (1711.14 KB),06-Oct-2025,"INR 982,044.28",90.0,SANJAYA KUMAR NAYAK,07-Nov-2025 04:27 PM,D.pdf (1867.00 KB),1,2955165,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",07-Jun-2025 12:59 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Berhampur,SE-MDB -02(D)/2025-26,2025_CEMWR_114108_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"O/O THE SE,MECHANICAL DIVISION,BERHAMPUR-760007",1.0,ICICI BANK,"9,900",Yes,fixed,,Nil,Nil,02-Jun-2025 11:00 AM,12-Jun-2025 01:00 PM,02-Jun-2025 11:00 AM,11-Jun-2025 05:30 PM,02-Jun-2025 11:00 AM ,09-Jun-2025 05:30 PM ,02-Jun-2025 11:00 AM,11-Jun-2025 05:30 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GTIN.RC,PAN,AFFIDAVITE AND OTHER DOCUMENTS AS PER DTCN",Mechanical gate work,"Supply,Fabrication and Erection of 04 no Scouring Sluice gate work at CD Over Bankuanalla at Tentulia of K.S Nagar block under M.I Division,Ganjam No-II,Brahmapur",PLEASE REFER TENDER DOCUMENTS ,NA ,"9,82,044",Mechanical Works,NA ,Tender,90.0,NA ,"K.S.NAGAR,GANJAM, ODISHA",761104.0,NA ,NA ,NA ,"O/O THE SE,MECHANICAL DIVISION,BERHAMPUR",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2948094,BANASHREE BHUYAN,11-Jun-2025 02:19 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2948129,LAXMIDHRA BHUYAN,11-Jun-2025 02:30 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2953102,M/S Abirvab Steel Product,11-Jun-2025 12:00 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2948047,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,10-Jun-2025 06:13 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2953923,M/S Ashreebad Fabricators,11-Jun-2025 11:28 AM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2948014,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,10-Jun-2025 06:06 PM,Accepted-AOC,WINNER IN THE TRANSPARENT LOTTERY PROCESS.,07-Nov-2025 04:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2961271,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,11-Jun-2025 04:57 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2958344,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,09-Jun-2025 09:14 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2955060,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",09-Jun-2025 09:26 PM,Rejected-Finance,loser,18-Aug-2025 03:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
