Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-03 OF 2025-26,2025_CERWI_112758_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,23-Apr-2025 10:00 AM,12-May-2025 11:00 AM,23-Apr-2025 10:00 AM,10-May-2025 05:00 PM,23-Apr-2025 10:00 AM ,06-May-2025 05:00 PM ,23-Apr-2025 10:00 AM,10-May-2025 05:00 PM,07-Jul-2025 11:00 AM,1.0,ICICI BANK,"C.C.E.,R.W. Circle ,Sundargarh","Rural Works Circle, Sundargarh At/Po- Sankara Dist-Sundargarh Pin-770020",1.0,Fee/PreQual/Technical,.pdf,"Registration certificate,GSTIN,PAN,Affidavits etc","3,43,297",Yes,percentage,1.0%,Nil,Nil,Improvement of road from Ramjodi-Manko road under improvement to existing RD road for the year 2024-25 in the district of Sundargarh.,Improvement of road from Ramjodi-Manko road under improvement to existing RD road for the year 2024-25 in the district of Sundargarh.,Please refer Tender documents. ,NA ,"3,43,29,709",Civil Works - Roads,NA ,Tender,90.0,180.0,Rourkela,769004.0,NA ,NA ,NA ,"Office of the C.C.E.,R.W. Circle ,Sundargarh",No ,No,1.0,Due Date Extended for tenders closing on 07-05-2025.,Admin Corrigendum Date Extend,,"10,000",0.0,Nil,Nil,No,AOC,CE RW I||RW-CIRCLE-SUNDARGARH,2025_CERWI_112758_2,RWCCESNG-03 OF 2025-26,Improvement of road from Ramjodi-Manko road under improvement to existing RD road for the year 2024-25 in the district of Sundargarh.,Technical,11 Nos. of Bidders,Binata Kishan,03-Jul-2025 12:32 PM,,A.K Sahoo,Internal,,Binata Kishan,18-Jul-2025 03:38 PM,finsummary_537321.pdf (24.99 KB),1.0,2907299.0,BIJAY KUMAR AGRAWAL,INR,"29,183,685.52",03-Nov-2025,"INR 34,329,708.89",180.0,Ashoka Kumar Sahoo,03-Nov-2025 12:55 PM,4212.pdf (404.00 KB),1,2907711,AJAY TIWARI,07-May-2025 01:58 PM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,Ashoka Kumar Sahoo,Internal,,Binata Kishan,03-Jul-2025 12:38 PM,07-Jul-2025 11:00 AM,techsummary_537321.pdf (579.58 KB),1.0,Revocation of Tender,Revocation of Tender,03-Jul-2025 12:18 PM,01.pdf ,80.6,Technical Opening,Finance,Ten nos of bidder.,Ashoka Kumar Sahoo,07-Jul-2025 04:26 PM,finance_537321.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,"Annual turnover, work experience, machinaries and other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2907204,AKSHAYA KUMAR ROUT,07-May-2025 12:54 PM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2907696,ANKIT KUMAR BAJAJ,09-May-2025 03:28 PM,Rejected-Technical,Diqualified due to inadequate experience in similar nature of work,03-Jul-2025 12:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2907299,BIJAY KUMAR AGRAWAL,06-May-2025 05:44 PM,Accepted-AOC,Successful bidder by lottery,03-Nov-2025 12:55 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2906767,JISHU KRISHNA PATRA,05-May-2025 08:00 PM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2906714,KAILASH CHANDRA SAHOO,05-May-2025 06:49 PM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2905151,KISHANRAJ CHAKRA,07-May-2025 01:49 PM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2905153,M/S SUN CONSTRUCTION,07-May-2025 04:17 PM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2904940,ROWNAQ PRASAD,06-May-2025 10:55 AM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2906958,SAPNESWAR CONSTRUCTION PRIVATE LIMITED,07-May-2025 07:31 AM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2911074,TARUN KUMAR JAISWAL,10-May-2025 12:57 PM,Rejected-Finance,Not Qualified,18-Jul-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,AOC
