Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Superintending Engineer,"Office of the Superintending Engineer, Sambalpur Irrigation Division, Sambalpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GST, PAN, Contractor RC, Affidavit, Undertakings, Other document as per DTCN","36,920",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",SESID-04(06)/2025-26,2025_CEBBU_118497_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Flood Works,Flood Protection to Right Bank Banbahara Nallah near village Mukand under Naktideol Block for the year 2025-26.,As per DTCN ,NA ,"36,81,944",Civil Works - Others,NA ,Tender,90.0,180.0,Sambalpur,768118.0,NA ,NA ,NA ,"O/o the SE, SID, Sambalpur",No ,No,24-Sep-2025 11:00 AM,09-Oct-2025 11:00 AM,24-Sep-2025 11:00 AM,08-Oct-2025 05:00 PM,24-Sep-2025 11:00 AM ,08-Oct-2025 05:00 PM ,24-Sep-2025 11:00 AM,08-Oct-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC,15-Nov-2025,"INR 3,130,020",180.0,Umakant Nayak,15-Nov-2025 04:05 PM,WO_06.pdf (316.00 KB),"ST Infra, Prop:-Tara Sahu is selected as winner of this tender through transparent lottery system. So, the work order may be issued in favour of ST Infra, Prop:-Tara Sahu.",1,3115613,ABHILASH SAMAL,08-Oct-2025 11:09 AM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,Superintending Engineer,Internal,"Superintending Engineer, Accountant, AEE Estimator",Umakant Nayak,01-Nov-2025 01:31 PM,techsummary_553695.pdf (322.42 KB),"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",2025_CEBBU_118497_1,SESID-04(06)/2025-26,Flood Works,Superintending Engineer,Internal,"Superintending Engineer, Accountant, AEE Estimator",Umakant Nayak,07-Nov-2025 01:05 PM,finsummary_553695.pdf (322.42 KB),Finance,Tender Bid Opening Summary,Umakant Nayak,01-Nov-2025 01:03 PM,finance_553695.pdf,BOQ Comparative Chart,1.0,3115748.0,S T INFRA,INR,"3,130,020",AOC
,,,,.xls,Bill of Quantity,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3112511,AJIT KERKETTA,08-Oct-2025 12:33 AM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3114828,AMAR KUMAR SINGH,07-Oct-2025 07:30 PM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3113493,ASHOK KUMAR SAHOO,07-Oct-2025 12:38 PM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3107062,ASHUTOSH BADAMALI,03-Oct-2025 01:25 PM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3113452,BADRINATH BHOI,07-Oct-2025 07:08 PM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3104117,BISWARANJAN PRADHAN,06-Oct-2025 07:14 PM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3116008,CHITTA RANJAN GARNAYAK,08-Oct-2025 12:34 PM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3108573,HARISHCHANDRA SAHOO,04-Oct-2025 07:28 AM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3115333,Muktar Khan,08-Oct-2025 12:30 AM,Rejected-AOC,Not selected.,15-Nov-2025 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
