Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,open,Sanjeet Kumar Naik,13-Nov-2025 05:16 PM,finance_550195.pdf,BOQ Comparative Chart,1.0,3060779.0,BIMAL KUMAR MAHANTA,INR,"214,157",CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_117201_1,RD 06,Periodical mainte of ASI qtr at Gorumahisani building for the year 2025-26,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,13-Nov-2025 05:30 PM,finsummary_550195.pdf (82.43 KB),Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,13-Nov-2025 05:25 PM,techsummary_550195.pdf (82.43 KB),1,3050620,ASHISH KUMAR NANDA,26-Aug-2025 08:22 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,13-Nov-2025,"INR 214,157",30.0,Sanjeet Kumar Naik,13-Nov-2025 05:35 PM,5430.pdf (82.00 KB),AOC,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RD 06,2025_CERWI_117201_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Periodical mainte of ASI qtr at Gorumahisani building for the year 2025-26,Periodical mainte of ASI qtr at Gorumahisani building for the year 2025-26,NA ,NA ,"2,51,920",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mayurbhanj,757043.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAIRANGPUR",No ,No,22-Aug-2025 11:00 AM,03-Sep-2025 11:30 AM,22-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,22-Aug-2025 11:00 AM ,01-Sep-2025 05:00 PM ,22-Aug-2025 11:00 AM,02-Sep-2025 05:00 PM,Divisional Officer,"RURAL WORKS DIVISION, RAIRANGPUR",1.0,Fee/PreQual/Technical/Finance,.pdf,PAN GSTIN Affidavit as per DTCN,"2,520",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3057690,AVISEK SHAW,31-Aug-2025 02:31 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3060779,BIMAL KUMAR MAHANTA,02-Sep-2025 11:47 AM,Accepted-AOC,Lottery winner,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3056899,DIPTENDU KUMAR MISHRA,01-Sep-2025 09:00 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3053217,DOLLY PATRA,28-Aug-2025 07:20 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3060975,HARAPRASAD SARDAR,02-Sep-2025 01:12 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3061444,JAGANNATH HEMBRAM,02-Sep-2025 04:35 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3051110,JOGAMAYA NANDA GIRI,27-Aug-2025 12:42 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3056571,KUMUDA RANJAN PRADHAN,30-Aug-2025 04:32 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3058079,LALIT BHARTI,31-Aug-2025 08:44 PM,Rejected-AOC,Lottery,13-Nov-2025 05:35 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
