Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Repair of paver block road at Pithapur Nua Sahi in Ward No. 27,Repair of paver block road at Pithapur Nua Sahi in Ward No. 27,Please refer Tender documents. ,NA ,"3,54,200",Civil Works - Others,NA ,Tender,90.0,30.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane",No ,No,"3,600",Yes,fixed,,Nil,Nil,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No1/2023-24,2023_ORULB_87560_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer,Div-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012","2,360",0.0,Nil,Nil,No,07-Apr-2023 03:00 PM,21-Apr-2023 11:00 AM,07-Apr-2023 03:00 PM,18-Apr-2023 05:00 PM,07-Apr-2023 03:00 PM ,18-Apr-2023 05:00 PM ,07-Apr-2023 03:00 PM,18-Apr-2023 05:00 PM,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,AOC,Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_87560_33,MC(CMC)CTC_Div-I_No1/2023-24,Repair of paver block road at Pithapur Nua Sahi in Ward No. 27,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,17-Nov-2025 05:06 PM,finsummary_433550.pdf (393.47 KB),Finance,Two bidders to be verified. participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Nanda Kishor Pal,24-Apr-2023 02:24 PM,finance_433550.pdf,BOQ Comparative Chart,1.0,2115915.0,PITAMBER MALIK,INR,"354,114",1,2115624,Ganesh Chandra Swain,18-Apr-2023 12:24 PM,Rejected-AOC,Rejected,17-Nov-2025 05:13 PM,17-Nov-2025,"INR 354,114",30.0,Subas Chandra Sahoo,17-Nov-2025 05:13 PM,2023_ORULB_87560_33.pdf (393.00 KB),Work Order,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,17-Nov-2025 05:03 PM,techsummary_433550.pdf (393.47 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.pdf,"TENDER PAPER COST AND EMD ONLINE,VAT, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS",AOC,,,,,,,,,,,,,,,,,,,,,,2,2115915,PITAMBER MALIK,18-Apr-2023 02:42 PM,Accepted-AOC,Accepted,17-Nov-2025 05:13 PM,,,,,,,,,,,,,,AOC
