S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3092953.0,ABHIMANYU DALEI,INR,"285,225",Finance,Document downloaded,Priyadarshini Behera,26-Sep-2025 12:05 PM,finance_552623.pdf,BOQ Comparative Chart,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,06-Nov-2025 11:49 AM,finsummary_552623.pdf (1463.54 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_118070_1,03SERWBLS,SR to Yoga Hall GAD Building at Badapokhari for the year 2025-26,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,06-Nov-2025 11:39 AM,techsummary_552623.pdf (1463.54 KB),06-Nov-2025,"INR 285,225",30.0,Soubhagya Kumar Das,06-Nov-2025 11:52 AM,26TCN3.pdf (1464.00 KB),1,3092953,ABHIMANYU DALEI,22-Sep-2025 01:32 PM,Accepted-AOC,Qualified,06-Nov-2025 11:52 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"P. cost, EMD, RC, Pan, Valid GSTIN, Affidavit and other as per DTCN","3,355",Yes,percentage,1.0%,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION, BALASORE",SR to Yoga Hall GAD Building at Badapokhari for the year 2025-26,SR to Yoga Hall GAD Building at Badapokhari for the year 2025-26,NA ,NA ,"3,35,519",Civil Works - Buildings,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,15-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,15-Sep-2025 10:00 AM ,22-Sep-2025 01:00 PM ,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,03SERWBLS,2025_CERWI_118070_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3092070,ASHOK KUMAR MOHAPATRA,21-Sep-2025 12:27 PM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3092838,BIKRAM KESHARI PATRA,21-Sep-2025 09:23 PM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3086388,PANKAJ KUMAR PATRA,21-Sep-2025 05:34 PM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3091091,PRIYAKANAK NANDAN PRUSTI,21-Sep-2025 11:43 AM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3090707,RAMAKRUSHNA MOHAPATRA,21-Sep-2025 11:01 AM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3093307,RATNAKAR JENA,22-Sep-2025 03:20 PM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3091028,SBL CONSTRUCTION,20-Sep-2025 05:20 PM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3093079,SRIKANTA PARIDA,21-Sep-2025 10:13 PM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3094321,SULOCHANA RAUT,22-Sep-2025 02:26 PM,Rejected-AOC,Not Qualified,06-Nov-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
