Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,12 nos are tender participated in this tender,Simachala Satapathy,11-Nov-2025 08:38 PM,,BOQ Comparative Chart,11-Nov-2025,"INR 1,337,238.4",60.0,Simachala Satapathy,11-Nov-2025 08:58 PM,AOC15.PDF (201.00 KB),1.0,3072469.0,Bijaya Kumar Pradhan,INR,"1,136,786.36","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_117482_15,MIDGJP-03/2025-26,Improvement to Badabandha Puduni MIP in Gosani Block of Gajapati District under DPIW Scheme-2025-26,1,3073744,ARJUN CHOUDHURY,10-Sep-2025 12:52 PM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,SIMACHALA SATAPATHY,Internal,,Simachala Satapathy,11-Nov-2025 08:46 PM,techsummary_550784.pdf (20.51 KB),SIMACHALA SATAPATHY,Internal,,Simachala Satapathy,11-Nov-2025 08:50 PM,finsummary_550784.pdf (40.65 KB),AOC,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",MIDGJP-03/2025-26,2025_CEMIB_117482_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Improvement to Badabandha Puduni MIP in Gosani Block of Gajapati District under DPIW Scheme-2025-26,Improvement to Badabandha Puduni MIP in Gosani Block of Gajapati District under DPIW Scheme-2025-26,Please refer tender documents ,NA ,"13,37,238",Civil Works - Others,NA ,Tender,90.0,60.0,GOSANI,761200.0,NA ,NA ,NA ,SE M I Division Gajapati paralakhemundi,No ,No,SUPERINTENDING ENGINEER,"O/O SUPERINTENDING ENGINEER, M.I.DIVISION, GAJAPATI PARALAKHEMUNDI",01-Sep-2025 10:00 AM,11-Sep-2025 11:00 AM,01-Sep-2025 10:00 AM,10-Sep-2025 05:30 PM,01-Sep-2025 10:00 AM ,10-Sep-2025 05:30 PM ,01-Sep-2025 10:00 AM,10-Sep-2025 05:30 PM,"13,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD (Online) RC, PAN, active GSTN, affidavit other documents and forms as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,2,3072469,Bijaya Kumar Pradhan,09-Sep-2025 06:59 PM,Accepted-AOC,successful through lottery system as a 1st lowest,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,3,3073113,DEBENDRA BISWAL,10-Sep-2025 07:21 AM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3074475,GUTTAPALLI HIMAGIRI,10-Sep-2025 04:25 PM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3070326,HARIS CHANDRA NAYAK,10-Sep-2025 08:27 AM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3074016,HUTTASAN APPATO,10-Sep-2025 01:57 PM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3073146,NARASINGHO APPATTO,10-Sep-2025 08:13 AM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3072940,NILANDI SWAIN,10-Sep-2025 08:37 AM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3070434,RAMESH CHANDRA SAHU,08-Sep-2025 09:37 PM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3073641,SUBASH CHANDRA RANA,10-Sep-2025 12:20 PM,Rejected-AOC,Un successful,11-Nov-2025 08:58 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
