Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Chief General Manager (Planning and Coordination),"Chief General Manager (Planning and Coordination), IDCO Towers, Janpath, Bhubaneswar-751022",1.0,ICICI BANK,"1,71,548",Yes,fixed,,Nil,Nil,05-Feb-2025 05:00 PM,21-Feb-2025 11:30 AM,05-Feb-2025 05:00 PM,20-Feb-2025 05:00 PM,05-Feb-2025 05:00 PM ,18-Feb-2025 05:00 PM ,05-Feb-2025 05:00 PM,20-Feb-2025 05:00 PM,14-May-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate,PAN,GST,EPF,Experience,Affidavits and all other document as per DTCN","Construction of cement concete pavement approach road to Workers Hostel at Kalunga, Rourkela.","Construction of cement concrete pavement approach road to Workers Hostel at Kalunga, Rourkela.",Please refer Tender documents. ,NA ,"1,71,54,784",Civil Works - Roads,NA ,Tender,90.0,120.0,"Kalunga, Rourkela, Odisha.",770031.0,NA ,NA ,NA ,"IDCO Towers, Janpath, Bhubaneswar-751022",No ,No,IDCO||IDCO||IDCO,PC/EST/E-41/2024-25,2025_IDCO_110186_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,AOC,CGM PC,Internal,AM F SE DH Rourkela,Debapriya Tripathy,05-May-2025 12:46 PM,14-May-2025 11:30 AM,techsummary_528578.pdf (332.39 KB),IDCO||IDCO||IDCO,2025_IDCO_110186_1,PC/EST/E-41/2024-25,"Construction of cement concete pavement approach road to Workers Hostel at Kalunga, Rourkela.",1.0,2827252.0,SUDHIR KUMAR SAIDEO,INR,"14,583,282",Finance,Finance bids have been opened,Debapriya Tripathy,14-May-2025 11:59 AM,finance_528578.pdf,BOQ Comparative Chart,Technical,Technical bids have been opened,Debapriya Tripathy,21-Feb-2025 12:51 PM,technical_528578.pdf,1,2827086,ANIL KUMAR LENKA,20-Feb-2025 12:57 PM,Rejected-AOC,L-1 bidder,26-Nov-2025 12:01 PM,26-Nov-2025,"INR 14,583,282.29",120.0,Debapriya Tripathy,26-Nov-2025 12:01 PM,Agreement.pdf (228.00 KB),"The Agreement made by D.H. Rourkela, vide Agreement No.23/P-1/2025-26, dt.15.07.2025.",CGM PC,Internal,,Debapriya Tripathy,26-Nov-2025 11:56 AM,finsummary_528578.pdf (1296.86 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2824679,Ashok Kumar Singh,19-Feb-2025 09:09 PM,Rejected-Technical,Disqualified,05-May-2025 12:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2825410,BHABANI SHANKAR PATEL,19-Feb-2025 06:39 PM,Rejected-AOC,L-1 bidder,26-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2827325,M/S GODAVARI BUILDERS,20-Feb-2025 03:01 PM,Rejected-Technical,Disqalified,05-May-2025 12:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2824782,M/S SAI BUILDERS,19-Feb-2025 09:02 PM,Rejected-AOC,L-1 bidder,26-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2827720,NRUSINGHA CHARAN SAMAL,20-Feb-2025 02:12 PM,Rejected-AOC,L-1 bidder,26-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2820027,PRAVEEN AGRAWAL,16-Feb-2025 12:05 PM,Rejected-AOC,L-1 bidder,26-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2824466,RAKESH PATTANAYAK,18-Feb-2025 03:58 PM,Rejected-Technical,Disqualified,05-May-2025 12:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2827757,SOURAV SAMAL,20-Feb-2025 02:29 PM,Rejected-Technical,Disqalified,05-May-2025 12:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2827252,SUDHIR KUMAR SAIDEO,20-Feb-2025 01:22 PM,Accepted-AOC,Lottery Winner/ L-1 bidder,26-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2825937,SWAPNA BISWAL,19-Feb-2025 06:25 PM,Rejected-AOC,L-1 bidder,26-Nov-2025 12:01 PM,,,,,,,,,,,,,,AOC
