S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3043351.0,CHANDRAKANT MOHANTY,INR,"2,326,280.4",Finance,Out of total 60 nos of bidders 57 nos of bidders Technically qualified for opening their bid documents,NIBEDITA NATH,09-Sep-2025 06:55 PM,finance_549861.pdf,BOQ Comparative Chart,Er. Suprava Kanhar(SE),Internal,"Saurabh Pandey (DA), Er. Nibedita Nath (AE, Estr.), Er. Subarna Khilla (JE, Estr.)",SUPRAVA KANHAR,10-Nov-2025 04:42 PM,finsummary_549861.pdf (603.73 KB),"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Bhanjanagar",2025_CEMIB_117040_2,BID IDENTIFICATION NO_SEMIDN_06_OF2025_26,Repair to Kushadhipijhatia MIP in Odagaon Block of Nayagarh district under Critical grant for the year 2025-26.,Er. Suprava Kanhar(SE),Internal,"Saurabh Pandey (DA), Er. Nibedita Nath (AE, Estr.), Er. Subarna Khilla (JE, Estr.)",SUPRAVA KANHAR,10-Nov-2025 04:06 PM,techsummary_549861.pdf (603.73 KB),1,3051849,AKSHAY KUMAR MANGARAJ,28-Aug-2025 09:49 AM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,11-Nov-2025,"INR 2,326,280.4",90.0,SUPRAVA KANHAR,11-Nov-2025 12:55 PM,WorkOrder_6_2.pdf (554.00 KB),AOC,AOC,1.0,ICICI BANK,Repair to Kushadhipijhatia MIP in Odagaon Block of Nayagarh district under Critical grant for the year 2025-26.,Repair to Kushadhipijhatia MIP in Odagaon Block of Nayagarh district under Critical grant for the year 2025-26.,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,SUPERINTENDING ENGINEER M I DIVISION NAYAGARH,752070.0,NA ,NA ,NA ,SUPERINTENDING ENGINEER M I DIVISION NAYAGARH,No ,No,"6,000",0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Bhanjanagar",BID IDENTIFICATION NO_SEMIDN_06_OF2025_26,2025_CEMIB_117040_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER M I DIVISION NAYAGARH,SUPERINTENDING ENGINEER M I DIVISION NAYAGARH,20-Aug-2025 10:00 AM,30-Aug-2025 11:00 AM,20-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,NA ,NA ,20-Aug-2025 10:00 AM,29-Aug-2025 05:00 PM,"27,370",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID CDMS,GST,PAN,REG CERTIFICATE, NO RELATION,AFFIDEFIT, OTHER DOCUMENT AS DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3053785,AMIT KUMAR SAHOO,29-Aug-2025 10:41 AM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3054349,AMIT KUMAR SAMANTARA,29-Aug-2025 01:24 PM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3053810,AMIYA RANJAN ACHARYA,29-Aug-2025 11:29 AM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3052770,AMJAD KHAN,28-Aug-2025 03:31 PM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3048762,ANANDA KUMAR PANDA,25-Aug-2025 07:34 PM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3053226,ANIL KUMAR PRADHAN,28-Aug-2025 07:31 PM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3054536,ASHUTOSH PRADHAN,29-Aug-2025 02:15 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,09-Sep-2025 06:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3049951,ASWINI KUMAR SAHOO,29-Aug-2025 04:05 PM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3049389,BIJAYA KUMAR DALEI,29-Aug-2025 01:46 PM,Rejected-AOC,Unsuccessful during Transparent Lottery.,11-Nov-2025 12:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
