S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Const of Boundary Wall at Amarjawn Jubaka Sangha in Ward No 11,Civil Work,Please refer to Tender Documents ,NA ,,Civil Works - Others,boundry wall ,Tender,180.0,60.0,Umerkote Municipality,764073.0,NA ,NA ,NA ,Umerkote Municipality,No ,No,"3,798",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN,Regd Certificates,GSTIN,PAN etc...",Municipal Bodies||Umerkote Municipality,UKTM-MUN- 01/2025-26(45),2025_ORULB_112071_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,Umerkote Municipality,02-Apr-2025 10:00 AM,15-Apr-2025 11:00 AM,02-Apr-2025 10:00 AM,11-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 10:00 AM,11-Apr-2025 05:00 PM,AOC,Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality A.E Umerkote Municipality Accountant Umerkote Municipality,Aswini Kumar Patnaik,20-Oct-2025 05:14 PM,finsummary_534820.pdf (1713.72 KB),Municipal Bodies||Umerkote Municipality,2025_ORULB_112071_1,UKTM-MUN- 01/2025-26(45),Const of Boundary Wall at Amarjawn Jubaka Sangha in Ward No 11,1.0,2880553.0,PENDRA HARIJAN,INR,"322,896",Finance,total seventeen nos of bidders found in bidding........,ALAK KUMAR ANUGULIA,26-Jul-2025 08:09 AM,,BOQ Comparative Chart,1,2881099,ABRAHAM KOCHIM,10-Apr-2025 06:34 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,24-Oct-2025,"INR 322,896",60.0,Aswini Kumar Patnaik,11-Nov-2025 05:13 PM,AOC.pdf (423.00 KB),LOA issued in favour of PENDRA HARIJAN as he is qualified as L1 bidder...,Smt. Radha Bhatra,Internal,Chairperson Umerkote Municipality BDO Umerkote E.O Umerkote Municipality M.E Umerkote Municipality J.E Umerkote Municipality Accountant Umerkote Municipality,ALAK KUMAR ANUGULIA,26-Jul-2025 04:22 PM,techsummary_534820.pdf (14371.10 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2881356,AJAYA KUMAR BEHERA,10-Apr-2025 09:59 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2880344,ALEKHA CHANDRA MOHANTY,10-Apr-2025 01:18 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2882220,ANJALI BISWAS,11-Apr-2025 02:11 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2880263,BALIRAM MANGARAJ,09-Apr-2025 11:58 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2881441,DHANMAT GANDA,10-Apr-2025 09:53 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2880170,HATIA ROUT,10-Apr-2025 08:47 AM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2877069,KUSHA SAHU,06-Apr-2025 12:21 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2881555,MAHAMMAD SARUK,11-Apr-2025 03:50 AM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2881187,NARAYAN PANIGRAHI,10-Apr-2025 08:28 PM,Rejected-Finance,L2 bidder,20-Oct-2025 05:14 PM,,,,,,,,,,,,,,AOC
