S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Affidavid GSTIN PAN RC Annual Turnover experience machinery and other papers as per DTCN,"2,92,630",Yes,fixed,,Nil,Nil,23-Jun-2025 09:00 AM,05-Jul-2025 11:00 AM,23-Jun-2025 09:00 AM,04-Jul-2025 05:00 PM,23-Jun-2025 09:00 AM ,03-Jul-2025 05:00 PM ,23-Jun-2025 09:00 AM,04-Jul-2025 05:00 PM,30-Aug-2025 11:00 AM,"Rural Works Circle, Rayagada","Rural Works Circle, Rayagada",Construction of road from NH-326 to Gunjiguda Road,Construction of road from NH-326 to Gunjiguda Road,NA ,NA ,"2,92,62,918",Civil Works - Roads,NA ,Tender,90.0,180.0,Gunupur,764062.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,CE RW I||RWCIRCLE-RAYAGADA,NCB 05 RWCRGDA 2025-26,2025_CERWI_114728_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2982839,ALLAPA AKHIL KUMAR,02-Jul-2025 10:46 AM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,25-Nov-2025,"INR 24,876,406.396",180.0,Binod Behari Das,25-Nov-2025 04:36 PM,4382.pdf (220.00 KB),Contract Awarded to Gourinath Mohapatra,Finance,VERIFIED,Binod Behari Das,01-Sep-2025 03:59 PM,,BOQ Comparative Chart,"Estimator,DAO, Executive Engineer of R.W.Division, Gunupur and Estimator PA to CCE,CCE R.W.Circle Rayagada",Internal,,Binod Behari Das,21-Aug-2025 07:53 PM,30-Aug-2025 11:00 AM,techsummary_543933.pdf (3064.20 KB),OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gunupur, DAO Gunupur, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,25-Nov-2025 04:27 PM,finsummary_543933.pdf (433.48 KB),CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_114728_1,NCB 05 RWCRGDA 2025-26,Construction of road from NH-326 to Gunjiguda Road,Technical,Documents are verified and Bid accepted for further tender process.,Sujata Hembram,06-Jul-2025 08:51 PM,,1.0,2986819.0,GOURINATH MOHAPATRA,INR,"24,876,406.396",AOC
2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2988397,Allapa Ganapati Rao,04-Jul-2025 09:08 AM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2988229,ANANTA ANDURU,03-Jul-2025 11:13 PM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2986454,Ashis Kumar Padhy,04-Jul-2025 10:10 AM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2984840,B Nirmal Kumar Subudhi,02-Jul-2025 07:00 PM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2982332,Ch Mohan Rao,03-Jul-2025 12:40 PM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2986819,GOURINATH MOHAPATRA,03-Jul-2025 12:39 PM,Accepted-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2988363,HRUSIKESH MOHAPATRA,04-Jul-2025 01:03 AM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2988590,JAY PRAKASH SHARMA,04-Jul-2025 03:53 PM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2982140,Jeeban Chandra Sahu,03-Jul-2025 10:48 PM,Rejected-AOC,Contract Awarded to Gourinath Mohapatra,25-Nov-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
