S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,11-Jun-2021 04:00 PM,22-Jun-2021 11:00 AM,11-Jun-2021 04:00 PM,21-Jun-2021 05:00 PM,11-Jun-2021 04:00 PM ,19-Jun-2021 05:00 PM ,11-Jun-2021 04:00 PM,21-Jun-2021 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Valid Cont License PAN GSTTIN EMD Bid Cost Expr Certificate Contact Number eMail ID and asper DTCN,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Bhanjanagar,EE RWSS BNJ 15 of 2021-22,2021_RWSS_69083_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,EE RWSS Division Bhanjanagar,EE RWSS Division Bhanjanagar,"21,550",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,PWS to Village Gudipalli in Bellaguntha Block,PWS to Village Gudipalli in Bellaguntha Block,Technical Evaluation ,NA ,,Civil Works - Water Works,Drinking Water ,Tender,90.0,90.0,PWS to Village Gudipalli in Bellaguntha Block,761126.0,NA ,NA ,NA ,EE RWSS Division Bhanjanagar,No ,No,AOC,23-Nov-2025,"INR 2,149,421",90.0,Nihar Ranjan Swain,23-Nov-2025 12:52 PM,GudipalliWO.pdf (274.00 KB),Sri Bainath Bishoi has awarded the work,1.0,1572411.0,BAINATH BISHOE,INR,"2,149,421",Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Bhanjanagar,2021_RWSS_69083_3,EE RWSS BNJ 15 of 2021-22,PWS to Village Gudipalli in Bellaguntha Block,EE RWSS Divn Bhanjanagar,Internal,,Nihar Ranjan Swain,23-Nov-2025 12:49 PM,finsummary_357156.pdf (271.88 KB),Finance,Three bidders have participated in the tender,Saroj Kumar Kar,22-Jun-2021 12:58 PM,,BOQ Comparative Chart,EE RWSS Divn Bhanjanagar,Internal,,Nihar Ranjan Swain,23-Nov-2025 12:46 PM,techsummary_357156.pdf (271.88 KB),1,1572411,BAINATH BISHOE,20-Jun-2021 05:31 PM,Accepted-AOC,1st Lowest,23-Nov-2025 12:52 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1572362,RAMACHANDRA NAIK,20-Jun-2021 01:57 PM,Rejected-AOC,2nd Lowest,23-Nov-2025 12:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1571760,TUKUNA POLAI,18-Jun-2021 06:14 PM,Rejected-AOC,3rd Lowest,23-Nov-2025 12:52 PM,AOC
