Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Executive Officer,Sonepur Municipality,1.0,Fee/PreQual/Technical/Finance,.pdf,As Per DTCN,"4,027",Yes,fixed,,Nil,Nil,Construction of Community Center at Khadalpada W. No-11,Construction of Community Center at Khadalpada W. No-11,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,45.0,NA ,Sonepur Municipality,767017.0,NA ,NA ,NA ,Sonepur Municipality,No ,No,1.0,ICICI BANK,Municipal Bodies||Sonepur Municipal Council,SNP-MUN-30/2025-26,2025_ORULB_116406_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,05-Aug-2025 11:00 AM,19-Aug-2025 11:00 AM,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,05-Aug-2025 11:00 AM ,18-Aug-2025 05:00 PM ,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,AOC,Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,06-Nov-2025 05:13 PM,techsummary_548236.pdf (1489.53 KB),Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,RUSI MAJHI,07-Nov-2025 11:12 AM,finsummary_548236.pdf (754.63 KB),Finance,As Per Tender Committee,RUSI MAJHI,06-Nov-2025 05:10 PM,finance_548236.pdf,BOQ Comparative Chart,07-Nov-2025,"INR 342,395.21",45.0,RUSI MAJHI,07-Nov-2025 11:19 AM,12WorkOrder.pdf (734.00 KB),As Per DTCN,1,3029069,DHARMARAJ MAHALIK,08-Aug-2025 07:45 PM,Rejected-Finance,Lost the Lottery,07-Nov-2025 11:12 AM,1.0,3039069.0,GOPAL CHANDRA MEHER,INR,"342,395.21",Municipal Bodies||Sonepur Municipal Council,2025_ORULB_116406_12,SNP-MUN-30/2025-26,Construction of Community Center at Khadalpada W. No-11,AOC
,,,,.xls,As Per BoQ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3039069,GOPAL CHANDRA MEHER,17-Aug-2025 12:55 PM,Accepted-AOC,Won the Lottery,07-Nov-2025 11:19 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,3039072,SARJAN BARIK,17-Aug-2025 12:57 PM,Rejected-Finance,Lost the Lottery,07-Nov-2025 11:12 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,3040068,SARTHAK BEDBAK,18-Aug-2025 01:46 PM,Rejected-Finance,Lost the Lottery,07-Nov-2025 11:12 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,3039693,Uma Bhoi,18-Aug-2025 02:40 PM,Rejected-Finance,Lost the Lottery,07-Nov-2025 11:12 AM,,,,,,,,,,AOC
