Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Arun Kumar Jyotrimaya,Internal,"Arun Kumar Jyotrimaya, Aswani Mishra, DAO Hemanta Kumar Marandi, AEE Estimator Samir Kumar Behera, JE Estimator",Samir Kumar Behera,23-Sep-2025 05:29 PM,techsummary_550686.pdf (495.18 KB),15-Oct-2025,"INR 422,340",90.0,ARUN KUMAR JYOTRIMAYA,15-Nov-2025 08:27 AM,19.pdf (912.00 KB),"The Work is awarded to Smt. Pratima Sahu ""C"" Class Contractor vide Agtt. No.19P1/25-26.The D.O.C and Completion as dt.15/10/2025 and 14/01/2026 for contract amount Rs.422340.00 With GST 18%",1,3079440,AJIT KUMAR SAHU,15-Sep-2025 11:01 AM,Rejected-Technical,Not Qualified,23-Sep-2025 05:29 PM,Finance,Opening Tender,HEMANTA MARANDI,23-Sep-2025 12:43 PM,finance_550686.pdf,BOQ Comparative Chart,1.0,3077983.0,PRATIMA SAHU,INR,"422,340","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",2025_CEMIB_117465_5,SEMIDPDP-01/2025-26,Improvement To Pahandi Check Dam In Bijepur Block Of Bargarh District under Improvement To Check Dam Scheme for the year 2025-26,Arun Kumar Jyotreemaya,Internal,"Ashwani Mishra,DAO, Hemant Kumar Marandi,AEE Estimator I/C,Samir Kumar Behera,JE Estimator",HEMANTA MARANDI,24-Sep-2025 11:20 PM,finsummary_550686.pdf (562.40 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"SE M.I. Division, Padampur","O/o The SE M.I. Division, Padampur",1.0,"1.Correction of name of Bid ID in DTCN,2.Corrigendum for Amendment in addresses",Other,,02-Sep-2025 11:00 AM,17-Sep-2025 11:00 AM,02-Sep-2025 11:00 AM,16-Sep-2025 05:00 PM,NA ,NA ,02-Sep-2025 11:00 AM,16-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor RC, Original affidavit, GSTIN, NRC, EMD, PAN and any other documents as per DTCN","5,000",Yes,fixed,,Nil,Nil,Improvement To Pahandi Check Dam In Bijepur Block Of Bargarh District under Improvement To Check Dam Scheme for the year 2025-26,Improvement To Pahandi Check Dam In Bijepur Block Of Bargarh District under Improvement To Check Dam Scheme for the year 2025-26,As per DTCN ,NA ,"4,96,812",Civil Works - Others,NA ,Tender,90.0,90.0,Bijepur,768032.0,NA ,NA ,NA ,"O/o The SE M.I. Division, Padampur",No ,No,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",SEMIDPDP-01/2025-26,2025_CEMIB_117465_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,3080799,AMLAN PANDA,15-Sep-2025 12:30 PM,Rejected-AOC,Not Winner in the Transparent Lottery,15-Nov-2025 08:28 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3083409,ANIL KUMAR MEHER,16-Sep-2025 01:11 PM,Rejected-Technical,Not Qualified,23-Sep-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3074373,ASHOK KUMAR SAHU,11-Sep-2025 01:23 PM,Rejected-AOC,Not Winner in the Transparent Lottery,15-Nov-2025 08:28 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3083131,Bijaya Taria,16-Sep-2025 11:54 AM,Rejected-Technical,Not Qualified,23-Sep-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3077478,CHAKRADHARA SAHU,12-Sep-2025 01:54 PM,Rejected-Technical,Not Qualified,23-Sep-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3083321,CHANDRAMA PANIGRAHI,16-Sep-2025 12:41 PM,Rejected-Technical,Not Qualified,23-Sep-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3082969,DHANPATI SAHU,16-Sep-2025 03:21 PM,Rejected-AOC,Not Winner in the Transparent Lottery,15-Nov-2025 08:28 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3074575,JAGADISH SAHU,11-Sep-2025 01:59 PM,Rejected-AOC,Not Winner in the Transparent Lottery,15-Nov-2025 08:28 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3069253,JAYA JHANKAR,09-Sep-2025 10:17 AM,Rejected-AOC,Not Winner in the Transparent Lottery,15-Nov-2025 08:28 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
