Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_118457_40,13/OPHWC/2025-26,"Const. of Out Post Bldg. at Singisari, Nowrangpur",1.0,3121861.0,JAGAJJIBAN SETH,INR,"6,541,528",1.0,3122199.0,DHARANIDHAR SETHY,10-Oct-2025 03:08 PM,Rejected-Finance,DUE TO L2 BIDDER,27-Nov-2025 01:50 PM,27-Nov-2025,"INR 6,541,528",180.0,Bikram Keshari Malla,27-Nov-2025 01:54 PM,singisari.pdf (374.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 25.11.2025,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,27-Nov-2025 01:50 PM,finsummary_553770.pdf (233.21 KB),Technical,2 Nos. of bidders have been participated,MONALISHA PADHY,14-Oct-2025 05:21 PM,,AS PER TC MINUTES,Internal,AS PER TC MINUTES,ANANDA CHANDRA PANDA,04-Nov-2025 12:26 PM,06-Nov-2025 10:30 AM,techsummary_553770.pdf (301.55 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,06-Nov-2025 11:15 AM,,BOQ Comparative Chart,AOC,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,13/OPHWC/2025-26,2025_OSPHW_118457_40,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,24-Sep-2025 06:55 PM,13-Oct-2025 10:30 AM,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,NA ,NA ,24-Sep-2025 06:55 PM,10-Oct-2025 05:00 PM,06-Nov-2025 10:30 AM,"Const. of Out Post Bldg. at Singisari, Nowrangpur",Building Work,Please refer Tender documents. ,NA ,"70,11,284",Civil Works - Buildings,NA ,Tender,90.0,180.0,Nowrangpur,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"70,100",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,AOC
,,,,,,,,,2.0,3121861.0,JAGAJJIBAN SETH,10-Oct-2025 01:13 PM,Accepted-AOC,QUALIFIED BIDDER,27-Nov-2025 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC
