S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
1.0,3026555.0,JAYANARAYAN JENA,INR,"10,213,812",CE RW I||RWCIRCLE-BALASORE,2025_CERWI_116246_2,CCE-BLS-NCB-16 of 2025-26,Construction of PHC New Day Care Building at Santoshpur under Basta Block in the District of Balasore for 2025-26.,Technical,15 numbers,Durjyodhan Behera,11-Aug-2025 04:30 PM,technical_547812.pdf,"CCE RW Circle, Balasore",Internal,PA to CCE and AE Estimator,Durjyodhan Behera,30-Nov-2025 08:15 PM,finsummary_547812.pdf (420.38 KB),"CCE RW Circle, Balasore",Internal,"PA to CCE and AE Estimator, R.W.Circle, Balasore",Saibalini Singh,03-Oct-2025 11:11 AM,06-Oct-2025 05:00 PM,techsummary_547812.pdf (918.64 KB),Finance,14 numbers,Subhadra Behera,08-Oct-2025 12:29 PM,,BOQ Comparative Chart,1,3027370,Byomakesh Mohanty,07-Aug-2025 04:19 PM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,30-Nov-2025,"INR 10,213,812",360.0,Durjyodhan Behera,30-Nov-2025 08:26 PM,santoshpurworkorder.pdf (982.00 KB),Sri Jayanarayan Jena is the 1st lowest bidder selected through transparent lottery,AOC,Construction of PHC New Day Care Building at Santoshpur under Basta Block in the District of Balasore for 2025-26.,Construction of PHC New Day Care Building at Santoshpur under Basta Block in the District of Balasore for 2025-26.,Please refer to the DTCN ,NA ,"1,20,15,000",Civil Works - Buildings,NA ,Tender,90.0,360.0,Balasore,756001.0,NA ,NA ,NA ,"CCE, R.W.CIRCLE, BALASORE",No ,No,29-Jul-2025 06:00 PM,08-Aug-2025 11:00 AM,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,29-Jul-2025 06:00 PM ,06-Aug-2025 05:00 PM ,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,06-Oct-2025 05:00 PM,"1,20,150",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"P.cost. EMD, R.C, PAN, GSTIN,Affidavit, etc.","10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-16 of 2025-26,2025_CERWI_116246_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"CCE, R.W.CIRCLE, BALASORE","O/o the Chief Construction Engineer, Rural Works Circle, Balasore",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3026580,CHITTARANJAN MALLIK,07-Aug-2025 11:33 AM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Similar nature of work, ATO, Proffit and Loss Statement, Work in Hand, Machineries, etc.",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3026955,Dinesh Kumar Nayak,07-Aug-2025 02:57 PM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3024315,DINESH PRADHAN,06-Aug-2025 06:26 PM,Rejected-Technical,Invalid MOU,03-Oct-2025 11:11 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3027142,GAGAN KUMAR SINGH,07-Aug-2025 03:44 PM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3026555,JAYANARAYAN JENA,07-Aug-2025 03:07 PM,Accepted-AOC,Selected through transparent lottery,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3027185,JEETESH RANJAN BEHERA,07-Aug-2025 03:12 PM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3021500,MANORANJAN BISWAL,05-Aug-2025 02:44 PM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3027034,NIKHIL KUMAR BEHERA,07-Aug-2025 02:55 PM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3025186,Ranjit Kumar Behera,05-Aug-2025 11:30 PM,Rejected-AOC,L1,30-Nov-2025 08:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
