S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Tender Stage
1.0,2622903.0,Bhabanikinkar Infrastructure PVT. LTD.,INR,"385,889,784","Er. P.C. Mohapatra, EIC (Civil), Odisha",Internal,"Er. D. C. Behera, CE, Bridges, Odisha, Er. S. Nayak, ACE, NABARD, Sri M. K. Sharma, DAO",Durga Charan Behera,28-Jan-2025 01:21 PM,finsummary_508441.pdf (6501.05 KB),EIC-CIVIL||EIC-CIVIL,2024_EICCL_105418_1,CE-BRIDGES-04/2024-25,Improvement to Telkoi Bimala Petraghati Raisuan Kaliahata road from 21.370km to 44.520km in the District of Keonjhar under DMF,Technical,Eight bidders participated in this tender,Mamatamayee Pradhan,08-Nov-2024 02:28 PM,,Finance,Eight qualified bidders participated in this tender and two bidders stands 1st lowest.,Mamatamayee Pradhan,27-Dec-2024 04:35 PM,,BOQ Comparative Chart,"Er. P.C. Mohapatra, EIC (Civil), Odisha",Internal,"Er. D. C. Behera, CE, Bridges, Odisha, Er. S. Nayak, ACE, NABARD, Sri M. K. Sharma, DAO",Durga Charan Behera,26-Dec-2024 08:49 PM,27-Dec-2024 04:00 PM,techsummary_508441.pdf (10709.37 KB),1,2584085,Bajrang Road Construction Private Limited,06-Nov-2024 09:47 AM,Rejected-Finance,4th lowest bidder,28-Jan-2025 01:21 PM,06-Nov-2025,"INR 385,889,784",607.0,Mamatamayee Pradhan,06-Nov-2025 01:10 PM,AOC_TELKOI.pdf (20162.00 KB),"Agreement No.145 P1 of 2025-26 of S.E. Keonjhar R and B Division, Keonjhar",AOC,Improvement to Telkoi Bimala Petraghati Raisuan Kaliahata road from 21.370km to 44.520km in the District of Keonjhar under DMF,Improvement to Telkoi Bimala Petraghati Raisuan Kaliahata road from 21.370km to 44.520km in the District of Keonjhar under DMF,Please refer Tender documents. ,NA ,"45,39,34,577",Civil Works - Roads,NA ,Tender,90.0,607.0,In the District of Keonjhar,751001.0,NA ,NA ,NA ,"Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswa",No ,No,EIC-CIVIL||EIC-CIVIL,CE-BRIDGES-04/2024-25,2024_EICCL_105418_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,1st corrigendum to Bid Identification No.CE-BRIDGES-04/2024-25-24,Date,,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost, Bid Security, GSTIN, PAN, RC and Affidavit","Chief Engineer, Bridges, Odisha","Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswar",08-Oct-2024 10:00 AM,08-Nov-2024 11:30 AM,08-Oct-2024 10:00 AM,07-Nov-2024 05:00 PM,08-Oct-2024 10:00 AM ,23-Oct-2024 05:00 PM ,08-Oct-2024 10:00 AM,07-Nov-2024 05:00 PM,27-Dec-2024 04:00 PM,"45,39,400",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2622903,Bhabanikinkar Infrastructure PVT. LTD.,07-Nov-2024 01:01 PM,Accepted-AOC,1st lowest bidder selected through transparent lottery system,06-Nov-2025 01:10 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2nd corrigendum to Bid Identification No.CE-BRIDGES-04/2024-25,Other,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2589955,MACKINTOSH BURN LIMITED,06-Nov-2024 07:54 PM,Rejected-AOC,1st lowest bidder,06-Nov-2025 01:10 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2627282,M/s. fortune group,07-Nov-2024 03:09 PM,Rejected-Finance,2nd lowest bidder,28-Jan-2025 01:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2602178,M/s Sri Durga Condev Private Limited,07-Nov-2024 04:34 PM,Rejected-Finance,2nd lowest bidder,28-Jan-2025 01:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2622176,NABA KUMAR BHUNIA,07-Nov-2024 02:11 PM,Rejected-Finance,5th lowest bidder,28-Jan-2025 01:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2627185,NANDA INFRA CONSTRUCTION PRIVATE LIMITED,07-Nov-2024 01:11 PM,Rejected-Finance,2nd lowest bidder,28-Jan-2025 01:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2625217,RKD CONSTRUCTION PVT LTD,07-Nov-2024 03:10 PM,Rejected-Finance,3rd lowest bidder,28-Jan-2025 01:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
