Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR",ACECIC - 11/ 2024-25,2025_CELBB_109413_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,16-Jan-2025 10:00 AM,31-Jan-2025 11:00 AM,16-Jan-2025 10:00 AM,30-Jan-2025 05:00 PM,16-Jan-2025 10:00 AM ,22-Jan-2025 05:00 PM ,16-Jan-2025 10:00 AM,30-Jan-2025 05:00 PM,24-Feb-2025 01:30 PM,"1,77,500",Yes,fixed,,Nil,Nil,Additional Chief Engineer,"Central irrigation circle,Bhubaneswar","10,000",0.0,Nil,Nil,No,Improvement to Sariganda S/M and Madhupur S/M of Left Distributary of KIP for the year 2024-25,Improvement to Sariganda S/M and Madhupur S/M of Left Distributary of KIP for the year 2024-25,Please refer Tender documents. ,NA ,"1,77,46,801",Civil Works - Canal,NA ,Tender,90.0,NA ,Nayagarh,752069.0,NA ,NA ,NA ,"Central Irrigation Circle, Bhubaneswar",No ,No,1.0,Fee/PreQual/Technical,.pdf,"PAN, GST-IN, RC,EMD, Affidavit and other documents as per DTCN",1.0,ICICI BANK,AOC,ACE CIC BBSR,Internal,,Rajesh Chandra Mohanty,10-Apr-2025 06:01 PM,finsummary_525722.pdf (432.49 KB),Technical,technical bid opening,Sasmita Das,24-Feb-2025 12:43 PM,technical_525722.pdf,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR",2025_CELBB_109413_2,ACECIC - 11/ 2024-25,Improvement to Sariganda S/M and Madhupur S/M of Left Distributary of KIP for the year 2024-25,1.0,2785520.0,MANORANJAN RAUTARA,INR,"17,746,801",10-Apr-2025,"INR 17,746,801",365.0,Rajesh Chandra Mohanty,27-Nov-2025 06:20 PM,sarigandaaoc2.pdf (220.00 KB),AWARD OF CONTRACT,1,2774226,ABHISHEK DASHGUPTA,28-Jan-2025 11:19 AM,Rejected-Finance,Unsuccessful,10-Apr-2025 06:01 PM,Finance,Financial bid opening summary,Sasmita Das,09-Apr-2025 07:15 PM,finance_525722.pdf,BOQ Comparative Chart,Addl CE CIC BBSR,Internal,,Sasmita Das,24-Feb-2025 01:26 PM,24-Feb-2025 01:30 PM,techsummary_525722.pdf (800.16 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2784907,ABINASH JENA,28-Jan-2025 08:33 PM,Rejected-Finance,Unsuccessful,10-Apr-2025 06:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2789195,ABINASH MISHRA,30-Jan-2025 01:21 PM,Rejected-Finance,Unsuccessful,10-Apr-2025 06:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2779003,ADDIL UZ ZAMMA,26-Jan-2025 07:52 PM,Rejected-Technical,not qualified,24-Feb-2025 01:26 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2787442,AMIT KUMAR PRUSTY,29-Jan-2025 07:25 PM,Rejected-Technical,not qualified,24-Feb-2025 01:26 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2785536,AMIT KUMAR SAHOO,29-Jan-2025 02:24 PM,Rejected-Technical,not qualified,24-Feb-2025 01:26 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2784911,AMRIT BARAL,28-Jan-2025 08:37 PM,Rejected-Finance,Unsuccessful,10-Apr-2025 06:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2789447,ANIL KUMAR PRADHAN,30-Jan-2025 02:27 PM,Rejected-Finance,Unsuccessful,10-Apr-2025 06:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2778642,ANTARYAMI SAHOO,26-Jan-2025 04:07 PM,Rejected-Finance,Unsuccessful,10-Apr-2025 06:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2789214,ARUN KUMAR BEHERA,30-Jan-2025 03:04 PM,Rejected-Technical,not qualified,24-Feb-2025 01:26 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2781371,ASUTOSH PRADHAN,28-Jan-2025 05:10 PM,Rejected-Finance,Unsuccessful,10-Apr-2025 06:01 PM,,,,,,,,,,,,,,AOC
