Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
15) Repair and Maintenance to Palada Sub-Minor-I and II and Dudura Sub-Minor of Chitrotpala Right Canal for the year 2025-26. (MB37/2025-26),Repair and Maintenance to Palada Sub-Minor-I and II and Dudura Sub-Minor of Chitrotpala Right Canal for the year 2025-26. (MB37/2025-26),Please refer Tender documents. ,NA ,"1,03,539",Civil Works - Canal,NA ,Tender,90.0,15.0,Cuttack,753003.0,NA ,NA ,NA ,"Superintending Engineer, Mahanadi Barrage Division",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,NRC andBID SECURITY",1.0,ICICI BANK,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",e Procurement Notice No.04/2025-26,2025_CELBB_114432_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,600.0,0.0,Nil,Nil,No,"Superintending Engineer, Mahanadi Barrage Division","Superintending Engineer, Mahanadi Barrage Division ,Gandarpur,Cuttack 753003",13-Jun-2025 10:00 AM,23-Jun-2025 11:00 AM,13-Jun-2025 10:00 AM,23-Jun-2025 10:00 AM,13-Jun-2025 10:00 AM ,23-Jun-2025 10:00 AM ,13-Jun-2025 10:00 AM,23-Jun-2025 10:00 AM,"1,040",Yes,fixed,,Nil,Nil,AOC,SEMBD,Internal,DOA,CHANDRA SEKHARA SETHY,18-Jul-2025 01:15 PM,techsummary_543007.pdf (1274.28 KB),SEMBD,Internal,DAO,Kartika Samal,30-Jul-2025 06:15 PM,finsummary_543007.pdf (571.93 KB),Finance,Total 16 nos bidders are Participated.,CHANDRA SEKHARA SETHY,03-Jul-2025 07:00 PM,,BOQ Comparative Chart,1,2977337,Alekha Chandra Bastia,22-Jun-2025 12:33 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",2025_CELBB_114432_15,e Procurement Notice No.04/2025-26,15) Repair and Maintenance to Palada Sub-Minor-I and II and Dudura Sub-Minor of Chitrotpala Right Canal for the year 2025-26. (MB37/2025-26),1.0,2977357.0,DHANANJAY BARIK,INR,"88,018",15-Aug-2025,"INR 88,018",15.0,Kartika Samal,12-Nov-2025 12:47 PM,WO37.pdf (647.00 KB),"Work has been awarded to Sri Dhananjaya barik.The date of commencement/contract may please be recorded as dt.15.07.2025.The deposit towards EMD and ISD has been received in favour of SE MBD, Cuttack",AOC
,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2975509,BICHITRA NANDA DAS,22-Jun-2025 01:12 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2977357,DHANANJAY BARIK,21-Jun-2025 09:17 PM,Accepted-AOC,Lottery Winner,12-Nov-2025 12:47 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2977935,"LAXMI CONSTRUCTION,PROP.-PRADIPTA RANJAN DALAI",23-Jun-2025 09:38 AM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2977913,LIPU KUMAR MALL,23-Jun-2025 08:52 AM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2977742,NIRUPAMA BEHERA,22-Jun-2025 08:49 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2974467,PRAKASH CHANDRA BHUYAN,19-Jun-2025 09:52 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2977504,PRATAP KUMAR PRADHAN,22-Jun-2025 05:51 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2976871,RANJIT BEHERA,21-Jun-2025 03:55 PM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2977183,SAMARJEET SWAIN,22-Jun-2025 11:53 AM,Rejected-Finance,being unsuccessful tenderer on lottery system,30-Jul-2025 06:15 PM,,,,,,,,,,,,,,,,,AOC
