S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur","3,27,626",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-25/24,2025_CERWI_109878_22,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,03-Feb-2025 04:55 PM,19-Feb-2025 11:00 AM,03-Feb-2025 04:55 PM,18-Feb-2025 05:00 PM,03-Feb-2025 04:55 PM ,17-Feb-2025 02:00 PM ,03-Feb-2025 04:55 PM,18-Feb-2025 05:00 PM,12-Mar-2025 11:30 AM,Impvt. to Endor to Golarhat Road in the Dist. of Kendrapara under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,Construction and Maintenance of TRIP Road for the year 2024-25.,Please refer tender documents ,NA ,"3,27,62,563",Civil Works - Roads,NA ,Tender,90.0,270.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, GST, EMD PAN,RC,Affidavit regarding correctness",AOC,Technical,11 no of bidders have been participated,Nibedita Nayak,20-Feb-2025 02:29 PM,,CCE,Internal,,Satyajit Dalai,01-Nov-2025 12:48 PM,finsummary_528306.pdf (133.31 KB),Finance,10 no of bidders have been participated,Nibedita Nayak,12-Mar-2025 03:01 PM,,BOQ Comparative Chart,CCE,Internal,,Nibedita Nayak,06-Mar-2025 06:58 PM,12-Mar-2025 11:30 AM,techsummary_528306.pdf (4743.72 KB),01-Nov-2025,"INR 27,851,454.91",270.0,Satyajit Dalai,01-Nov-2025 01:02 PM,3042.pdf (191.00 KB),The work has been awarded to Kishore Kumar Panda,1,2824566,AMLAN SAMAL,18-Feb-2025 04:53 PM,Rejected-Technical,Disqualified due to non-submission of affidavit regarding establishment of Hot Mix Plant within 60km as per clause no 14(b) of eligibility criteria of DTCN.,06-Mar-2025 06:58 PM,CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_109878_22,Tender Online RCK-25/24,Impvt. to Endor to Golarhat Road in the Dist. of Kendrapara under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,1.0,2824341.0,KISHORE KUMAR PANDA,INR,"27,851,454.91",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour license, Similar nature of work, Work in hand, Annual Turn Over, No relation certificate",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2823458,GOUTTAM MALLIK,17-Feb-2025 10:32 PM,Rejected-AOC,Rejected Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hireBalance sheet, Bidder Contact address and other documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2823343,HAREKRUSHNA NAYAK,18-Feb-2025 01:56 PM,Rejected-AOC,Rejected Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2824341,KISHORE KUMAR PANDA,18-Feb-2025 03:41 PM,Accepted-AOC,L1 Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2824505,MS SAI PRACHYA CONSTRUCTIONS,18-Feb-2025 04:45 PM,Rejected-AOC,Rejected Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2808523,Rajesh Kumar Sahoo,10-Feb-2025 08:17 PM,Rejected-Finance,Rejected Bidder,01-Nov-2025 12:48 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2823479,SATIKANTA BEHERA,17-Feb-2025 10:29 PM,Rejected-AOC,Rejected Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2824554,SATYENDU SUTAR,18-Feb-2025 04:46 PM,Rejected-AOC,Rejected Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2817410,SRI RABINDRA KUMAR SAHOO,14-Feb-2025 11:48 AM,Rejected-AOC,Rejected Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2822285,SUBHALAXMI SWAIN,17-Feb-2025 02:17 PM,Rejected-AOC,Rejected Bidder,01-Nov-2025 01:02 PM,,,,,,,,,,AOC
