S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3027447.0,SOUMIT PANDA,INR,"10,212,780",Technical,15 numbers,Durjyodhan Behera,11-Aug-2025 04:47 PM,technical_547815.pdf,CE RW I||RWCIRCLE-BALASORE,2025_CERWI_116246_3,CCE-BLS-NCB-16 of 2025-26,Construction of PHC New Day Care Building at Santaragadia under Nilagiri Block in the District of Balasore for 2025-26.,"CCE RW Circle, Balasore",Internal,PA to CCE and AE Estimator,Durjyodhan Behera,30-Nov-2025 09:03 PM,finsummary_547815.pdf (424.32 KB),"CCE RW Circle, Balasore",Internal,"PA to CCE and AE Estimator, R.W.Circle, Balasore",Saibalini Singh,03-Oct-2025 11:19 AM,06-Oct-2025 05:00 PM,techsummary_547815.pdf (918.64 KB),Finance,15 numbers,Subhadra Behera,08-Oct-2025 12:55 PM,,BOQ Comparative Chart,1,3025383,Ajaya Kanta Mishra,06-Aug-2025 10:58 PM,Rejected-AOC,L2,30-Nov-2025 09:16 PM,30-Nov-2025,"INR 10,212,780",360.0,Durjyodhan Behera,30-Nov-2025 09:16 PM,SantaragadiaW.pdf (1016.00 KB),1st lowest bidder Sri Soumit Panda selected through transparent lottery,AOC,29-Jul-2025 06:00 PM,08-Aug-2025 11:00 AM,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,29-Jul-2025 06:00 PM ,06-Aug-2025 05:00 PM ,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,06-Oct-2025 05:00 PM,"CCE, R.W.CIRCLE, BALASORE","O/o the Chief Construction Engineer, Rural Works Circle, Balasore",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"P.cost. EMD, R.C, PAN, GSTIN,Affidavit, etc.","10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-16 of 2025-26,2025_CERWI_116246_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of PHC New Day Care Building at Santaragadia under Nilagiri Block in the District of Balasore for 2025-26.,Construction of PHC New Day Care Building at Santaragadia under Nilagiri Block in the District of Balasore for 2025-26.,Please refer to the DTCN ,NA ,"1,20,14,000",Civil Works - Buildings,NA ,Tender,90.0,360.0,Balasore,756001.0,NA ,NA ,NA ,"CCE, R.W.CIRCLE, BALASORE",No ,No,"1,20,140",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3024295,AMIYA KUMAR NAYAK,06-Aug-2025 04:33 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Similar nature of work, ATO, Proffit and Loss Statement, Work in Hand, Machineries, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3026998,ANSHUMAN ROUT,07-Aug-2025 03:37 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3026968,Dinesh Kumar Nayak,07-Aug-2025 03:02 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3018978,JAGABANDHU SETHI,07-Aug-2025 01:03 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3026284,LAXMINARAYAN CONSTRUCTION,06-Aug-2025 09:59 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3024834,MANAS KUMAR PARIDA,06-Aug-2025 12:42 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3024381,PRASANTA KUMAR BEHERA,06-Aug-2025 10:51 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3025211,Ranjit Kumar Behera,05-Aug-2025 11:47 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3026820,sarit sapan barik,07-Aug-2025 12:40 PM,Rejected-AOC,L1,30-Nov-2025 09:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
